col1	col2	col3	col4	col5
906	552	743	348	45
676	229	425	661	558
469	642	430	384	773
913	485	125	628	312
105	152	25	22	179
746	782	291	911	339
737	101	318	801	211
562	295	654	746	511
185	238	957	814	907
598	531	936	384	629
300	92	458	618	102
135	406	241	576	391
213	105	764	531	55
895	113	760	276	502
72	785	741	249	432
243	292	744	452	998
54	604	106	228	812
442	965	682	805	486
14	433	464	987	895
898	695	213	30	138
197	759	99	536	391
94	433	824	88	928
308	656	176	803	918
457	110	164	990	714
102	934	666	67	619
996	188	895	940	344
333	267	517	19	937
298	798	703	684	125
63	488	154	784	731
299	769	954	535	647
47	397	541	886	834
506	273	680	900	399
762	38	37	626	750
632	674	810	138	836
90	430	749	218	323
81	452	121	183	553
778	610	526	42	980
906	60	326	107	550
534	316	547	617	331
110	773	399	940	620
826	697	416	355	361
339	126	181	411	757
294	131	256	985	414
747	93	21	946	493
11	8	924	677	695
49	424	654	989	973
668	656	933	767	328
604	723	164	337	838
527	532	922	663	740
730	109	795	245	955
708	632	578	296	32
782	127	441	681	357
288	135	258	528	663
693	99	752	412	282
557	143	229	603	231
397	169	65	751	712
62	197	768	584	625
781	318	672	552	591
338	317	716	584	661
608	218	643	512	48
742	252	420	83	349
105	893	391	720	452
128	704	817	997	241
550	556	318	355	716
486	185	815	972	857
891	213	790	347	282
799	78	853	887	732
735	914	506	455	138
52	707	636	414	837
73	558	951	218	139
89	314	444	126	589
799	167	61	309	367
944	623	867	727	807
684	988	632	783	504
133	171	356	694	490
723	258	998	10	878
111	397	225	844	354
118	74	653	923	450
641	685	605	771	964
329	403	388	43	43
654	983	143	379	973
750	403	26	705	190
584	621	422	730	668
741	155	185	225	587
235	382	726	270	676
735	162	371	674	362
971	759	842	478	621
867	872	735	624	812
87	351	572	237	20
367	686	177	178	84
370	295	958	830	975
686	531	266	767	652
598	833	925	935	232
790	598	224	108	404
368	336	374	183	123
207	300	88	100	269
87	453	641	490	258
772	423	181	194	332
206	360	46	896	153
389	559	724	100	349
