C:\BMES301_Data\2015-04-15\e2_L062_g2_s1 04152015 023417_std.CSV 


Created ,4/15/2015,2:34:17 PM
Exported,4/15/2015,2:34:43 PM

Channels
Disp,Load,Load 2,Ch 3,Ch 4,Temperature,DirCmd A,UserCalc1,E11,E12,E22,PS1,PS2,Axial cmd,Axial err,Axial drv,Temp cmd,Temp err,Temp drv,

Units
mm,N,N,V,V,C,V,V,%,%,%,%,%,mm,%,%,C,%,%,

Movers
Axial,Temp,

Workspace Unsecure

_______________________________________________________________________________________
****Waveform Information is written at start of Data Acquisition, not start of waveform.****

Axial,Block,Step:1,Ramp,Control Channel Disp,Level: 5.000000,Rate: 0.781000,
Temp,Sine Wave,Control Channel Temperature,Level1: 2.0,Level2: 2.0,Frequency: 1.0,Cycles: 1000000,Start Frequency: 1.0,Done Frequency: 1.0,Done Level: 0.0,
_______________________________________________________________________________________


_______________________________________________________________________________________
****Tuning Parameters.****

Axial,Control Channel Disp,TuneIQ Mode ,TuneIQ1: 0.6310206,TuneIQ2: 0.0085844,TuneIQ3: -2.5804174,TuneIQ4: 0.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,
Axial,Control Channel Load,TuneIQ Mode ,TuneIQ1: 0.0414904,TuneIQ2: 0.0289848,TuneIQ3: 0.0000000,TuneIQ4: 200.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,
Axial,Control Channel Load 2,TuneIQ Mode ,TuneIQ1: 0.0000000,TuneIQ2: 0.0001000,TuneIQ3: 0.0000000,TuneIQ4: 0.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,
Axial,Control Channel DirCmd A,Manual Tune Mode,PTerm: 1.0000000,ITerm: 0.0000000,DTerm: 0.0000000,OTerm: 0,
Temp,Control Channel Temperature,TuneIQ Mode ,TuneIQ1: 0.0000000,TuneIQ2: 0.0001000,TuneIQ3: 0.0000000,TuneIQ4: 0.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,
_______________________________________________________________________________________

_______________________________________________________________________________________

Axial Counts,1
"Points","Elapsed Time","Scan Time","Disp","Load",
"","Sec","Sec","mm","N",
1,0.0000,0.0000,-0.001609,0.03,
2,0.1464,0.1464,-0.001613,0.05,
3,0.2928,0.2928,-0.001457,0.03,
4,0.4392,0.4392,-0.001547,0.03,
5,0.5856,0.5856,-0.001454,0.03,
6,0.7320,0.7320,-0.001448,0.05,
7,0.8784,0.8784,-0.001495,0.05,
8,1.0248,1.0248,-0.001621,0.05,
9,1.1712,1.1712,-0.001626,0.03,
10,1.3176,1.3176,-0.001771,0.03,
11,1.4640,1.4640,-0.001523,0.05,
12,1.6104,1.6104,-0.001325,0.05,
13,1.7568,1.7568,-0.001398,0.05,
14,1.9032,1.9032,-0.001662,0.05,
15,2.0496,2.0496,-0.001494,0.05,
16,2.1960,2.1960,-0.001409,0.05,
17,2.3424,2.3424,-0.001643,0.03,
18,2.4888,2.4888,-0.001623,0.05,
19,2.6352,2.6352,-0.001526,0.05,
20,2.7816,2.7816,-0.001537,0.05,
21,2.9280,2.9280,-0.001329,0.05,
22,3.0744,3.0744,-0.001507,0.05,
23,3.2208,3.2208,-0.001639,0.05,
24,3.3672,3.3672,-0.001642,0.05,
25,3.5136,3.5136,-0.001540,0.03,
26,3.6600,3.6600,-0.001650,0.03,
27,3.8064,3.8064,-0.001575,0.03,
28,3.9528,3.9528,-0.001612,0.05,
29,4.0992,4.0992,-0.001511,0.03,
30,4.2456,4.2456,-0.001436,0.05,
31,4.3920,4.3920,-0.001473,0.05,
32,4.5384,4.5384,-0.001700,0.05,
33,4.6848,4.6848,-0.001821,0.05,
34,4.8312,4.8312,-0.001682,0.05,
35,4.9776,4.9776,-0.001485,0.03,
36,5.1240,5.1240,-0.001395,0.05,
37,5.2704,5.2704,-0.001460,0.05,
38,5.4168,5.4168,-0.001574,0.05,
39,5.5632,5.5632,-0.001691,0.05,
40,5.7096,5.7096,-0.001499,0.03,
41,5.8560,5.8560,-0.001656,0.05,
42,6.0024,6.0024,-0.001598,0.05,
43,6.1488,6.1488,-0.001553,0.05,
44,6.2952,6.2952,-0.001485,0.05,
45,6.4416,6.4416,-0.001440,0.05,
46,6.5880,6.5880,-0.001467,0.05,
47,6.7344,6.7344,-0.001614,0.05,
48,6.8808,6.8808,-0.001700,0.05,
49,7.0272,7.0272,-0.001463,0.05,
50,7.1736,7.1736,-0.001530,0.05,
51,7.3200,7.3200,-0.001633,0.05,
52,7.4664,7.4664,-0.001651,0.05,
53,7.6128,7.6128,-0.001503,0.05,
54,7.7592,7.7592,-0.001498,0.05,
55,7.9056,7.9056,-0.001626,0.06,
56,8.0520,8.0520,-0.001505,0.05,
57,8.1984,8.1984,-0.001686,0.05,
58,8.3448,8.3448,-0.001632,0.05,
59,8.4912,8.4912,-0.001547,0.05,
60,8.6376,8.6376,-0.001494,0.05,
61,8.7840,8.7840,-0.001635,0.05,
62,8.9304,8.9304,-0.001672,0.05,
63,9.0768,9.0768,-0.001501,0.05,
64,9.2232,9.2232,-0.001434,0.05,
65,9.3696,9.3696,-0.001639,0.05,
66,9.5160,9.5160,-0.001489,0.05,
67,9.6624,9.6624,-0.001467,0.05,
68,9.8088,9.8088,-0.001502,0.05,
69,9.9552,9.9552,-0.001508,0.05,
70,10.1016,10.1016,-0.001456,0.05,
71,10.2480,10.2480,-0.001578,0.05,
72,10.3944,10.3944,-0.001558,0.05,
73,10.5408,10.5408,-0.001552,0.05,
74,10.6872,10.6872,-0.001341,0.05,
75,10.8336,10.8336,-0.001630,0.05,
76,10.9800,10.9800,-0.001585,0.03,
77,11.1264,11.1264,-0.001462,0.05,
78,11.2728,11.2728,-0.001565,0.05,
79,11.4192,11.4192,-0.001606,0.05,
80,11.5656,11.5656,-0.001521,0.05,
81,11.7120,11.7120,-0.001495,0.03,
82,11.8584,11.8584,-0.001628,0.05,
83,12.0048,12.0048,-0.001444,0.05,
84,12.1512,12.1512,-0.001503,0.03,
85,12.2976,12.2976,-0.001680,0.05,
86,12.4440,12.4440,-0.001661,0.03,
87,12.5904,12.5904,-0.001531,0.05,
88,12.7368,12.7368,-0.001446,0.05,
89,12.8832,12.8832,-0.001543,0.05,
90,13.0296,13.0296,-0.001467,0.05,
91,13.1760,13.1760,-0.001396,0.05,
92,13.3224,13.3224,-0.001280,0.05,
93,13.4688,13.4688,-0.001554,0.05,
94,13.6152,13.6152,-0.001739,0.05,
95,13.7616,13.7616,-0.001679,0.03,
96,13.9080,13.9080,-0.001526,0.05,
97,14.0544,14.0544,-0.001520,0.05,
98,14.2008,14.2008,-0.001493,0.05,
99,14.3472,14.3472,-0.001453,0.05,
100,14.4936,14.4936,-0.001442,0.05,
101,14.6400,14.6400,-0.001451,0.05,
102,14.7864,14.7864,-0.001712,0.05,
103,14.9328,14.9328,-0.001573,0.05,
104,15.0792,15.0792,-0.001499,0.05,
105,15.2256,15.2256,-0.001627,0.05,
106,15.3720,15.3720,-0.001526,0.05,
107,15.5184,15.5184,-0.001458,0.05,
108,15.6648,15.6648,-0.001500,0.05,
109,15.8112,15.8112,-0.001533,0.03,
110,15.9576,15.9576,-0.001675,0.03,
111,16.1040,16.1040,-0.001720,0.03,
112,16.2504,16.2504,-0.001491,0.05,
113,16.3968,16.3968,-0.001516,0.03,
114,16.5432,16.5432,-0.001568,0.05,
115,16.6896,16.6896,-0.001461,0.03,
116,16.8360,16.8360,-0.001360,0.05,
117,16.9824,16.9824,-0.001559,0.05,
118,17.1288,17.1288,-0.001783,0.05,
119,17.2752,17.2752,-0.001626,0.05,
120,17.4216,17.4216,-0.001635,0.05,
121,17.5680,17.5680,-0.001686,0.05,
122,17.7144,17.7144,-0.001736,0.05,
123,17.8608,17.8608,-0.001494,0.05,
124,18.0072,18.0072,-0.001273,0.05,
125,18.1536,18.1536,-0.001463,0.05,
126,18.3000,18.3000,-0.001600,0.03,
127,18.4464,18.4464,-0.001473,0.05,
128,18.5928,18.5928,-0.001628,0.05,
129,18.7392,18.7392,-0.001629,0.05,
130,18.8856,18.8856,-0.001594,0.05,
131,19.0320,19.0320,-0.001466,0.06,
132,19.1784,19.1784,-0.001420,0.05,
133,19.3248,19.3248,-0.001461,0.05,
134,19.4712,19.4712,0.044145,0.09,
135,19.6176,19.6176,0.158544,0.12,
136,19.7640,19.7640,0.273019,0.18,
137,19.9104,19.9104,0.387431,0.23,
138,20.0568,20.0568,0.501819,0.27,
139,20.2032,20.2032,0.616026,0.32,
140,20.3496,20.3496,0.730651,0.36,
141,20.4960,20.4960,0.844860,0.40,
142,20.6424,20.6424,0.959185,0.44,
143,20.7888,20.7888,1.073303,0.50,
144,20.9352,20.9352,1.187278,0.54,
145,21.0816,21.0816,1.301876,0.61,
146,21.2280,21.2280,1.416149,0.66,
147,21.3744,21.3744,1.530457,0.74,
148,21.5208,21.5208,1.644554,0.81,
149,21.6672,21.6672,1.758699,0.91,
150,21.8136,21.8136,1.872939,1.01,
151,21.9600,21.9600,1.987165,1.15,
152,22.1064,22.1064,2.101171,1.26,
153,22.2528,22.2528,2.215411,1.42,
154,22.3992,22.3992,2.329512,1.61,
155,22.5456,22.5456,2.443826,1.78,
156,22.6920,22.6920,2.558075,1.97,
157,22.8384,22.8384,2.672052,2.14,
158,22.9848,22.9848,2.786066,2.36,
159,23.1312,23.1312,2.900167,2.60,
160,23.2776,23.2776,3.014351,2.82,
161,23.4240,23.4240,3.128538,3.02,
162,23.5704,23.5704,3.242731,3.22,
163,23.7168,23.7168,3.356807,3.44,
164,23.8632,23.8632,3.471297,3.66,
165,24.0096,24.0096,3.585338,3.81,
166,24.1560,24.1560,3.699562,3.98,
167,24.3024,24.3024,3.813500,4.16,
168,24.4488,24.4488,3.927782,4.38,
