Disease,Gene Symbol,p-Value,Fold Change
Adenomyosis,COX1,0.0022713095345307,0.731951030784579
Adenomyosis,ND2,3.13992412426245e-06,0.401135153825101
Adenomyosis,ATP6,0.00166829007053904,0.758783070838141
Adenomyosis,COX2,1.46387443132889e-05,0.537959049158439
Adenomyosis,COX2,2.30566320424952e-06,0.553483146743817
Adenomyosis,ND3 /// SH3KBP1,0.000175404017701997,0.629450110161397
Adenomyosis,empty,0.00713671228525459,0.677345506192758
Adenomyosis,RPL35,0.00244522826427973,0.565098417835221
Adenomyosis,MIR6805 /// RPL28,0.00408417251297055,0.588956282663968
Adenomyosis,RPL11,0.000785997009500994,0.5929780353617
Adenomyosis,RPL24,0.00958938930202613,0.680345908105609
Adenomyosis,RPS27A,0.000844270470662156,0.598041617179505
Adenomyosis,LOC100508408 /// RPS13 /// SNORD14B,0.00358860981145137,0.690020860475408
Adenomyosis,RPS5,0.00427263003566358,0.587361964906863
Adenomyosis,RPL34,0.00248459318782734,0.615179433502767
Adenomyosis,RPL19,0.00654028476017821,0.666512125427104
Adenomyosis,RPS11 /// SNORD35B,0.00109928334978326,0.647397912275683
Adenomyosis,RPL9,0.0020234177555557,0.698068184601846
Adenomyosis,RPL10A,0.00517628174684837,0.626010200091816
Adenomyosis,C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C,0.00497177358954681,0.672132361602748
Adenomyosis,RHOA,0.00302426059909733,0.554645390529322
Adenomyosis,RPS24,0.00102279222503854,0.736287704498551
Adenomyosis,RPS6,0.00891775601075373,0.686231126919436
Adenomyosis,NBEAL1 /// RPL12,0.00234137851566485,0.616681451994397
Adenomyosis,RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C,0.00356241909466426,0.632927662187796
Adenomyosis,RPS3A /// SNORD73A,0.00479676581483823,0.671514641087584
Adenomyosis,UBB,0.00597148138295001,0.663574618940912
Adenomyosis,PFN1,0.00928435017789364,0.565236427950925
Adenomyosis,LDHA,0.000970100266389551,0.45603296222608
Adenomyosis,RPL32,0.00133833419464291,0.668218283563375
Adenomyosis,GSN,0.000388598958530939,0.44486290832461
Adenomyosis,RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A,0.000696458365865849,0.702172607815488
Adenomyosis,RPL7,0.00447472207096866,0.717301745204561
Adenomyosis,SKP1,0.00840576983879593,0.634644002920006
Adenomyosis,NACA,0.00497326103165374,0.671159253218271
Adenomyosis,PGK1,0.00916105718592186,0.645699237646118
Adenomyosis,RPS27,0.000326197425804198,0.671269272093931
Adenomyosis,RPLP1,0.00227433433454172,0.738559742651211
Adenomyosis,RPS15A,0.00459335116303627,0.663430339817747
Adenomyosis,SPARCL1,0.00942262441594655,0.641117821158655
Adenomyosis,ACTB,0.000277593239677798,0.622443771736504
Adenomyosis,RPL12,0.00424394161399144,0.656936558906462
Adenomyosis,RPS10,0.00413815261559969,0.639819209112745
Adenomyosis,RPS15,0.000645079895079115,0.614389373301793
Adenomyosis,RPL18A /// SNORA68,0.000845077819656703,0.459932959787585
Adenomyosis,S100A10,0.00569040095297813,0.473923551692056
Adenomyosis,RPLP2 /// SNORA52,0.00862218550774985,0.693202040404183
Adenomyosis,RPS23,0.00733986913987927,0.744496618562368
Adenomyosis,RPS4X,0.00264679559061132,0.742200506528285
Adenomyosis,RPL8,0.00501359706332771,0.654743404075451
Adenomyosis,RPL5 /// SNORD21,0.00814555430964559,0.716783308617361
Adenomyosis,RPS20 /// SNORD54,0.00263920368943005,0.675020170704782
Adenomyosis,RPL31,0.00345167525749701,0.707292603637227
Adenomyosis,ALDOA,0.00165625607668241,0.308371576512136
Adenomyosis,ANXA1,0.00156069106424284,0.401081797989534
Adenomyosis,DSTN,0.00542758134336152,0.580739881392206
Adenomyosis,RPS18,0.00179790021007109,0.784176975704477
Adenomyosis,RPS29,0.00330548083685811,0.672131170656762
Adenomyosis,RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C,0.000721162349784366,0.596736992096352
Adenomyosis,CSTB,0.00628695943105417,0.645049571045126
Adenomyosis,RNU86 /// RPL3 /// SNORD83B,0.00382349659663261,0.729702242207209
Adenomyosis,ENO1,0.00296233032123927,0.621888606902729
Adenomyosis,RPS6,0.00294101382259859,0.682900710390519
Adenomyosis,RPS3A /// SNORD73A,0.00305108386419684,0.691830907415155
Adenomyosis,RPS16,0.00619404260384837,0.581378094682297
Adenomyosis,CYR61,0.00628334007952047,0.446587862172451
Adenomyosis,ATP5B,0.00188096932642434,0.625490950984881
Adenomyosis,VIM,0.00145782212883605,0.654998140560907
Adenomyosis,SEPP1,0.00503785392851219,0.530307550923197
Adenomyosis,RPL37A,0.00473402835730485,0.811346497144097
Adenomyosis,RPL41,0.00189588660703388,0.740139710768987
Adenomyosis,MYH11,0.000757947088097954,0.554357970947936
Adenomyosis,APOD,0.00386643683465593,0.309218885107382
Adenomyosis,FHL1,0.000487300106057797,0.462385542841886
Adenomyosis,ACTB /// ACTG1,0.00677400987166843,0.72988801906603
Adenomyosis,ANXA2,0.000265682574949522,0.43346678282544
Adenomyosis,RPS17,0.00309392848219348,0.696487907283435
Adenomyosis,TIMP1,0.00670235220132054,0.538644751748234
Adenomyosis,B2M,0.00241718280006098,0.689907396713471
Adenomyosis,EIF1,0.00647374660656597,0.640657813737198
Adenomyosis,RPL38,0.00707627249788889,0.707500615069429
Adenomyosis,MYLK,0.00772854691760705,0.627650038219974
Adenomyosis,S100A8,0.00677025105141704,0.455089121711684
Adenomyosis,RPL27A /// SNORA45A,0.00666840501326316,0.753230766112889
Adenomyosis,RPS2 /// SNORA64,0.00811457771821766,0.755160226245006
Adenomyosis,S100A4,0.000776974064760516,0.268696393375061
Adenomyosis,FABP4,0.00244161207587312,0.149417111093713
Adenomyosis,TPM2,0.00586632707757917,0.451030786276206
Adenomyosis,MAL,0.00762038502095064,0.517081994055921
Adenomyosis,CA3,0.00473566493909505,0.290552809941214
Adenomyosis,EEF1A1,0.00241088986842697,0.802000591225352
Adenomyosis,TPM1,0.00726392066809489,0.427670837697746
Adenomyosis,empty,0.00354635893530642,0.79719006743447
Adenomyosis,HUWE1,0.00161869292503669,0.812301483107247
Adenomyosis,MYH11,0.00099459800844881,0.398530691458127
Adenomyosis,YBX1,0.00345350873117001,0.550496590874828
Adenomyosis,NACA,0.00237529211271625,0.656726241125572
Adenomyosis,RPS14,0.00217574499023265,0.684428667869467
Adenomyosis,CLIC1,0.00512011323469663,0.553115242539717
Adenomyosis,HMGN2,0.00587632533606208,0.632234256614455
Adenomyosis,CAPN2,0.000455774369014117,0.517170997369763
Adenomyosis,RPL39,0.00501895215367676,0.71841601412122
Adenomyosis,HLA-B,0.00275456523189099,0.576367643840279
Adenomyosis,RPL22,0.00298248312262805,0.668304165379698
Adenomyosis,CLU,0.00154710081578469,0.408675034440341
Adenomyosis,CLU,0.0073142826322502,0.296918318061706
Adenomyosis,HLA-C,0.000193086217688543,0.545060333599872
Adenomyosis,RPL23A /// SNORD42A,0.00465023847807866,0.769940903744038
Adenomyosis,RPL23A /// SNORD42A,0.00415906284015177,0.769665043159039
Adenomyosis,KRT6B,0.00303250664873134,0.36268817127075
Adenomyosis,IGLC1,7.44087447879238e-06,0.27958156873975
Adenomyosis,HLA-B,0.000181997807322865,0.517522509620908
Adenomyosis,GPM6B,0.00777986938465558,0.422784213892649
Adenomyosis,FOS,0.00519385287001772,0.393337871899893
Adenomyosis,HBA1 /// HBA2,0.00872804127093452,0.229702820141452
Adenomyosis,HSP90AA1,0.00242534106551773,0.568337965397758
Adenomyosis,FHL1,0.00262761123580335,0.366593396203055
Adenomyosis,ANXA2,0.000136546282839101,0.411220875476315
Adenomyosis,FN1,0.000527613302375385,0.343360505818691
