Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	sce01100:Metabolic pathways	187	17.09323583180987	2.9185610633658367E-25	1770084_AT, 1773919_AT, 1776610_AT, 1773780_AT, 1778568_AT, 1773839_AT, 1777334_AT, 1775451_AT, 1778654_AT, 1777168_AT, 1771346_AT, 1779682_AT, 1771529_AT, 1777661_AT, 1774715_AT, 1779615_AT, 1774122_AT, 1771051_AT, 1779128_AT, 1778479_AT, 1779000_AT, 1776084_AT, 1776825_AT, 1773565_AT, 1774340_AT, 1778588_AT, 1771143_AT, 1779098_AT, 1773515_AT, 1772870_AT, 1774675_AT, 1773727_AT, 1778651_AT, 1778743_AT, 1776346_AT, 1773765_AT, 1776155_AT, 1777477_AT, 1774974_AT, 1774593_AT, 1776046_AT, 1778906_AT, 1779140_AT, 1770315_AT, 1773900_AT, 1771633_AT, 1775760_AT, 1769968_AT, 1770279_AT, 1770571_AT, 1777630_AT, 1772003_AT, 1778996_AT, 1774425_AT, 1778954_AT, 1777374_AT, 1775992_AT, 1770785_AT, 1776998_AT, 1770281_AT, 1769937_AT, 1770451_AT, 1778784_AT, 1771103_AT, 1769684_AT, 1772148_AT, 1777388_AT, 1771171_AT, 1778142_AT, 1770448_AT, 1772549_AT, 1773903_AT, 1775928_AT, 1774011_AT, 1775874_AT, 1779017_AT, 1773750_AT, 1779478_AT, 1769455_AT, 1775744_AT, 1769730_AT, 1775276_AT, 1777010_AT, 1769885_AT, 1775608_AT, 1774373_AT, 1774025_AT, 1780138_AT, 1771219_AT, 1777723_AT, 1770584_AT, 1780155_AT, 1779549_AT, 1771176_AT, 1769792_AT, 1771236_AT, 1772615_AT, 1779660_AT, 1772202_AT, 1770055_AT, 1779985_AT, 1776650_AT, 1772997_AT, 1780059_AT, 1779643_AT, 1778503_AT, 1772907_AT, 1769955_AT, 1779468_AT, 1772384_AT, 1770750_AT, 1775922_AT, 1771814_AT, 1775859_AT, 1770721_AT, 1772939_AT, 1779961_AT, 1773884_AT, 1772916_AT, 1770440_AT, 1774424_AT, 1772736_AT, 1778546_AT, 1770073_S_AT, 1773561_AT, 1775257_AT, 1775083_AT, 1779734_AT, 1776363_AT, 1773483_AT, 1774081_AT, 1771943_AT, 1775263_AT, 1771692_AT, 1779402_AT, 1775355_AT, 1773176_AT, 1772785_AT, 1769943_AT, 1770011_AT, 1771081_AT, 1769731_AT, 1779097_AT, 1771591_AT, 1779112_AT, 1777628_AT, 1770747_AT, 1771778_AT, 1769805_AT, 1774137_AT, 1778245_AT, 1777053_AT, 1778090_AT, 1778194_AT, 1773295_AT, 1771982_AT, 1777971_AT, 1769703_AT, 1777455_AT, 1772287_AT, 1777843_AT, 1771206_AT, 1770167_AT, 1777268_AT, 1770767_AT, 1772350_AT, 1775847_AT, 1778896_AT, 1779820_AT, 1779675_AT, 1779950_AT, 1774394_AT, 1780060_AT, 1777039_AT, 1774930_AT, 1776122_AT, 1771509_AT, 1778279_AT, 1775974_AT, 1771962_AT, 1779905_AT, 1776968_AT, 1778809_AT, 1770221_AT, 1773457_AT, 1779129_AT, 1778384_AT	470	764	3749	1.9523866547844493	4.056799878078513E-23	4.056799878078513E-23	3.093674727167787E-23
KEGG_PATHWAY	sce01110:Biosynthesis of secondary metabolites	87	7.952468007312614	1.701961444672517E-11	1780059_AT, 1779643_AT, 1777334_AT, 1778503_AT, 1778654_AT, 1772907_AT, 1771346_AT, 1769955_AT, 1770750_AT, 1771051_AT, 1779128_AT, 1779961_AT, 1778479_AT, 1770440_AT, 1779000_AT, 1776084_AT, 1776825_AT, 1773565_AT, 1773515_AT, 1776363_AT, 1773727_AT, 1774081_AT, 1776346_AT, 1773765_AT, 1777477_AT, 1774974_AT, 1771943_AT, 1776046_AT, 1771692_AT, 1779140_AT, 1773900_AT, 1775760_AT, 1769943_AT, 1769968_AT, 1770279_AT, 1770571_AT, 1771081_AT, 1772003_AT, 1779097_AT, 1779112_AT, 1770747_AT, 1777374_AT, 1776234_AT, 1778954_AT, 1776998_AT, 1769805_AT, 1778245_AT, 1778784_AT, 1777053_AT, 1772148_AT, 1777388_AT, 1771171_AT, 1778142_AT, 1771982_AT, 1777971_AT, 1775928_AT, 1773230_AT, 1769703_AT, 1772287_AT, 1773750_AT, 1770167_AT, 1779478_AT, 1771057_AT, 1777268_AT, 1775276_AT, 1770767_AT, 1777010_AT, 1769885_AT, 1772350_AT, 1775847_AT, 1779675_AT, 1774025_AT, 1780138_AT, 1770584_AT, 1774394_AT, 1780155_AT, 1777039_AT, 1774930_AT, 1776122_AT, 1775974_AT, 1779905_AT, 1771962_AT, 1772615_AT, 1779660_AT, 1772202_AT, 1779129_AT, 1776650_AT	470	344	3749	2.017336714497773	2.365725504382965E-9	1.1828632040473995E-9	9.02039565676434E-10
KEGG_PATHWAY	sce04111:Cell cycle - yeast	43	3.930530164533821	1.0995296480788913E-9	1774857_AT, 1775495_AT, 1777928_AT, 1779586_AT, 1770871_AT, 1770636_AT, 1772894_AT, 1771119_AT, 1775739_AT, 1779569_AT, 1772968_AT, 1771196_AT, 1780129_AT, 1779227_AT, 1769793_AT, 1777807_AT, 1770349_AT, 1776707_AT, 1775522_AT, 1769770_AT, 1772084_AT, 1775262_AT, 1770626_AT, 1770463_AT, 1779753_AT, 1772648_AT, 1776552_AT, 1777660_AT, 1779843_AT, 1773209_AT, 1771620_AT, 1776774_AT, 1770864_AT, 1779631_AT, 1779633_AT, 1769666_AT, 1776004_AT, 1776614_AT, 1772045_AT, 1769448_AT, 1769740_AT, 1779985_AT, 1775720_AT	470	129	3749	2.65886524822695	1.528346152968041E-7	5.0944873694321966E-8	3.885004756545416E-8
KEGG_PATHWAY	sce03008:Ribosome biogenesis in eukaryotes	29	2.6508226691042047	1.8722806689064094E-8	1773300_AT, 1771304_AT, 1777632_AT, 1776498_AT, 1777706_AT, 1770861_AT, 1775052_AT, 1771367_AT, 1779525_AT, 1777403_AT, 1775645_AT, 1774277_AT, 1779287_AT, 1776118_AT, 1775614_AT, 1772442_AT, 1778653_AT, 1773099_AT, 1777948_AT, 1779808_AT, 1777967_AT, 1776859_AT, 1769637_AT, 1778063_AT, 1774335_AT, 1778980_AT, 1775762_AT, 1775468_AT, 1772676_AT	470	74	3749	3.125963197239793	2.6024667606483476E-6	6.506175324449773E-7	4.961543772601985E-7
KEGG_PATHWAY	sce01230:Biosynthesis of amino acids	38	3.473491773308958	7.490748675867498E-8	1772003_AT, 1779097_AT, 1780059_AT, 1774425_AT, 1779643_AT, 1770747_AT, 1777374_AT, 1778954_AT, 1776998_AT, 1778503_AT, 1778654_AT, 1771346_AT, 1777388_AT, 1770750_AT, 1778142_AT, 1771051_AT, 1778479_AT, 1772287_AT, 1773750_AT, 1770440_AT, 1779000_AT, 1779478_AT, 1773515_AT, 1775847_AT, 1779675_AT, 1780138_AT, 1773727_AT, 1774930_AT, 1775974_AT, 1773765_AT, 1771962_AT, 1772615_AT, 1779660_AT, 1779140_AT, 1773900_AT, 1769943_AT, 1776650_AT, 1770279_AT	470	121	3749	2.5050465975030773	1.0412086844713286E-5	2.0824281318911645E-6	1.5880387192839096E-6
KEGG_PATHWAY	sce04113:Meiosis - yeast	39	3.5648994515539303	1.4915421985033062E-7	1774857_AT, 1772517_AT, 1774775_AT, 1770636_AT, 1771925_AT, 1773283_AT, 1771119_AT, 1775739_AT, 1772968_AT, 1771196_AT, 1779227_AT, 1769793_AT, 1776707_AT, 1775522_AT, 1780089_AT, 1775262_AT, 1774145_AT, 1770463_AT, 1778666_AT, 1779871_AT, 1776552_AT, 1778024_AT, 1773209_AT, 1771620_AT, 1777808_AT, 1779524_AT, 1776813_AT, 1770864_AT, 1779494_AT, 1780101_AT, 1779633_AT, 1769666_AT, 1772846_AT, 1772307_AT, 1776004_AT, 1776614_AT, 1769796_AT, 1769448_AT, 1769740_AT	470	129	3749	2.4115289460663036	2.0732223191766153E-5	3.4554060931993263E-6	2.635057884022508E-6
KEGG_PATHWAY	sce04011:MAPK signaling pathway - yeast	34	3.1078610603290677	1.5802896056951248E-6	1772517_AT, 1777928_AT, 1772997_AT, 1773780_AT, 1771549_AT, 1770896_AT, 1779242_AT, 1772968_AT, 1773426_AT, 1769955_AT, 1774545_AT, 1778960_AT, 1775050_AT, 1772084_AT, 1777661_AT, 1780215_AT, 1776449_AT, 1773230_AT, 1772134_AT, 1770442_AT, 1776552_AT, 1776420_AT, 1778500_AT, 1775809_AT, 1771752_AT, 1774130_AT, 1776774_AT, 1776371_AT, 1776885_AT, 1777022_AT, 1773975_AT, 1770055_AT, 1772139_AT, 1775057_AT	470	114	3749	2.378984695782008	2.1963630517429777E-4	3.138003645594605E-5	2.3930099743383318E-5
KEGG_PATHWAY	sce00240:Pyrimidine metabolism	13	1.1882998171846435	1.905058548373772E-4	1777630_AT, 1776610_AT, 1769730_AT, 1772736_AT, 1772870_AT, 1774675_AT, 1779468_AT, 1776155_AT, 1779682_AT, 1770448_AT, 1770221_AT, 1770721_AT, 1773884_AT	470	31	3749	3.345024021962937	0.02613524135109868	0.003310039227799429	0.002524202576595248
KEGG_PATHWAY	sce04120:Ubiquitin mediated proteolysis	17	1.5539305301645339	2.332170649539329E-4	1772648_AT, 1774207_AT, 1770636_AT, 1771119_AT, 1779569_AT, 1771212_AT, 1779042_AT, 1769793_AT, 1779631_AT, 1775522_AT, 1769666_AT, 1775262_AT, 1770463_AT, 1769740_AT, 1779578_AT, 1780036_AT, 1776783_AT	470	50	3749	2.7120425531914893	0.03190102761744096	0.0036019080031774084	0.002746778765012988
KEGG_PATHWAY	sce00250:Alanine, aspartate and glutamate metabolism	12	1.0968921389396709	4.3524391317231444E-4	1775744_AT, 1779682_AT, 1774425_AT, 1772615_AT, 1770767_AT, 1778809_AT, 1772549_AT, 1776998_AT, 1773457_AT, 1776650_AT, 1773884_AT, 1772287_AT	470	29	3749	3.3006603081438004	0.05871759575724356	0.006049890393095171	0.004613585479626533
