Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	25	17.24137931034483	8.273003411034469E-22	NM_014180, NM_000978, NM_016067, NM_001001, NM_145330, NM_000993, NM_000971, NM_006837, NM_001035006, NM_001028, NM_002954, NM_000975, NM_145644, NM_001030, NM_018997, NM_015920, NM_000987, NM_016497, NM_000982, NM_016071, NM_016093, NM_000985, NM_000986, NM_033022, NM_001014990, NM_001021, NM_001024662	136	223	19157	15.791512793458192	5.468455254693784E-19	5.468455254693784E-19	5.38572522058344E-19
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	17	11.724137931034482	1.362740457879543E-18	NM_000987, NM_000978, NM_000982, NM_000993, NM_000971, NM_001035006, NM_016093, NM_001028, NM_002954, NM_000985, NM_000986, NM_000975, NM_033022, NM_001030, NM_001021, NM_001024662, NM_001007464, NM_015933	136	88	19157	27.211647727272727	9.00771442658378E-16	4.50385721329189E-16	4.4357201903979127E-16
GOTERM_BP_DIRECT	GO:0042776~mitochondrial ATP synthesis coupled proton transport	6	4.137931034482759	9.326776130772128E-8	NM_007100, NM_006476, NR_002162, NM_001003701, NM_001697, NM_001688, NM_001003696	136	17	19157	49.715397923875436	6.164809276720806E-5	2.0549996741467923E-5	2.023910420377552E-5
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	10	6.896551724137931	9.698743742897478E-6	NM_144723, NM_003096, NM_012322, NM_015484, NM_016047, NM_004597, NM_014463, NM_016403, NM_006425, NM_198220	136	194	19157	7.260839902971498	0.00639039472304026	0.0016027174035138083	0.0015784705441565646
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	8	5.517241379310345	3.4355714466906657E-5	NM_000987, NM_033022, NM_001030, NM_014886, NM_001021, NM_000971, NM_001028, NM_000975	136	128	19157	8.803768382352942	0.022453597211234744	0.004541825452525059	0.004473114023591246
GOTERM_BP_DIRECT	GO:0042273~ribosomal large subunit biogenesis	5	3.4482758620689653	4.885796182709264E-5	NM_000987, NM_000971, NM_016093, NM_032194, NM_000975	136	29	19157	24.28625760649087	0.03177995829805447	0.005382518794618039	0.005301088858239551
GOTERM_BP_DIRECT	GO:0032981~mitochondrial respiratory chain complex I assembly	6	4.137931034482759	7.564040228987437E-5	NM_002491, NM_002495, NM_004552, NM_004541, NM_004546, NM_032273	136	62	19157	13.63164136622391	0.048770762848638016	0.007142615130515281	0.007034557412958317
GOTERM_BP_DIRECT	GO:0006122~mitochondrial electron transport, ubiquinol to cytochrome c	4	2.7586206896551726	9.295387924343853E-5	NM_014402, NM_006004, NM_006294, NM_001089591	136	13	19157	43.341628959276015	0.05959568139182525	0.007680314272489108	0.00756412192343481
GOTERM_BP_DIRECT	GO:1902600~hydrogen ion transmembrane transport	7	4.827586206896552	1.7234827842688825E-4	NM_006053, NM_001039367, NM_014402, NM_006004, NM_001697, NM_004888, NM_001866	136	116	19157	8.500190162271805	0.10768139556597	0.012658023560019237	0.01246652547287825
GOTERM_BP_DIRECT	GO:0006120~mitochondrial electron transport, NADH to ubiquinone	5	3.4482758620689653	3.0597153709123964E-4	NM_002491, NM_002495, NM_004552, NM_004541, NM_004546	136	46	19157	15.310901534526854	0.18313230174150175	0.02022471860173094	0.019918747064639697
