Gene Symbols,Fold Change,P-Value
TDH,-2.0637397689071038,3.5076358294165476e-07
GPNMB,2.499776113299258,5.309798538976366e-15
AQP12A /// AQP12B,-2.066632664196054,2.284337753273812e-08
MOXD1,2.035174471528572,4.8067062512405796e-14
FCER1G,2.107882392539339,4.932903365243769e-08
POSTN,5.210264787074178,1.8766016173815724e-17
COL1A1,2.08508669504736,3.183691364509125e-14
ITGBL1,2.6574184458769308,8.519761217717524e-14
CP,2.1065786847400685,7.60337797945545e-09
FN1,2.0084534848586166,3.5415942299851816e-13
AQP12A /// AQP12B,-2.509198400764144,5.324904707961695e-07
PDK4,-2.0208645067052733,5.227373018324152e-09
1562406_at,-2.1806902768699374,5.766962182704031e-10
1562473_at,-2.1563172683210605,1.0491124537065417e-07
ALB,-3.4664765285813566,4.4960780395323846e-05
SPARC,2.5281066790354534,7.206465094232458e-16
TGM2,2.083995301495508,1.1760323789844781e-15
MYL9,2.0028850771894104,2.423650807437876e-09
MMP2,2.212652198035705,7.45585455017587e-15
THBS1,2.0085863383089864,2.8583608099836922e-08
THBS1,2.0691524370606786,1.2712618181276633e-08
GPNMB,2.104700173204424,5.933512231103724e-14
BGN,2.0383219202893135,1.8985047427418356e-16
DPYSL3,2.046127289019997,1.3885210171625147e-13
COL6A3,2.3331186625999494,1.5902825394142173e-17
KRT19,3.3562260942505175,1.3873320257454744e-12
TIMP1,2.571203225952435,5.80801816516718e-19
AEBP1,2.3471257748729824,4.1614227799518226e-19
MYOF,2.1591354623127534,9.34358945241716e-17
CAPG,2.0344240405025964,1.1790294753101964e-18
COL3A1,2.751725241773233,7.680893744943581e-17
PLAT,2.269072447537581,5.813903006449387e-13
CEACAM5,2.5261822752151697,2.9428207666651565e-06
SEL1L,-2.408882556904859,3.927052875500418e-08
SEL1L,-2.0214396812646402,1.2550577986730214e-08
LAMA4,2.1291892593406145,1.9710814517332108e-10
ARL4C,2.1191396308908184,6.934334004196571e-11
LOC101928916 /// NNMT,2.3276770704461667,2.046136246069539e-12
LOC101928916 /// NNMT,2.16874113884931,3.273724501510161e-12
LAMC2,2.4289265292313478,3.4008572061886003e-15
TACSTD2,2.302656393732286,1.9241647404609263e-08
COL1A1,3.892816766914638,9.488566267698851e-19
COL1A1,4.050258106440804,9.768397338429489e-18
SPOCK1,2.098245406413817,1.9602540033611928e-16
COL1A2,2.473637279778315,6.207059185658744e-18
COL1A2,3.8413138314490145,9.678357912003612e-19
IFI27,2.0227547065369356,1.792780746643892e-10
CYP1B1,2.2329688712960762,3.997144742294374e-10
CYP1B1,2.5348910249347942,1.388170634134279e-10
CYP1B1,2.864634608016521,9.797945744294308e-11
CTSK,2.304554720881644,7.73926020872369e-15
SLC2A3,2.0201342540347644,2.328595661746715e-08
FBN1,2.121432845126809,3.9365545780061424e-13
FBN1,2.3810784248643486,7.959776501285519e-14
SERPINA1,2.0895734210652708,7.154991026875693e-11
MIR6787 /// SLC16A3,2.474967214391046,1.5721369876680372e-13
CXCL8,2.9355132871026814,1.5946403652656953e-11
ANPEP,-2.6083152661894347,1.0643591400017196e-06
RGS1,2.2550343485168245,4.998607411448237e-09
SLPI,2.33413764098309,1.7167972368901229e-15
THBS2,3.659824427008795,4.2788851481238067e-20
GPRC5A,2.6610517105265394,2.261018596934459e-15
COL5A1,2.617152250222212,2.814794373303512e-17
LOXL1,2.1591522927678044,3.844590053817319e-18
LAMA3,2.0835979558568,4.252758843453657e-10
CEACAM6,3.1293989441968484,1.8601472783071146e-09
SEMA3C,2.827060760249021,1.9920865521827846e-13
HEPH,2.012613364057699,3.35270597491196e-07
GSTA1,-2.1395401130512317,2.510076633986507e-05
F2R,2.138419053795897,2.9180546419493066e-14
FCGR3A /// FCGR3B,2.267317005940123,7.484612906822501e-09
SFRP4,3.10134139495117,1.8947258470251597e-13
SFRP4,2.9630517091648145,4.203749405824908e-13
TPST2,-2.1015115030035276,8.388977285503323e-08
ALOX5AP,2.0993503745282855,2.966171693931322e-12
MMP7,2.835261720246178,1.0685450205855252e-10
LOX,2.046599581888031,6.001834255564134e-11
COL11A1,3.32723357664949,8.061576563748316e-17
S100P,3.3339519425531368,7.568553779435627e-12
EDNRA,3.1166716728350874,1.6730061153960534e-17
EDNRA,2.5759925888964035,6.001497366818555e-16
MMP1,3.2535671710550305,2.465075225682211e-09
MMP12,2.4887621653186405,5.585865547525869e-07
DKK1,2.213895889650528,3.84904194894593e-12
VCAN,3.7559577562901785,2.2822581001763573e-20
VCAN,3.3204998897658315,1.1733327953939465e-19
SERPINB5,2.1905840436440918,1.5024202725703926e-08
CSTA,2.009129394461652,3.0368088414466245e-09
TFF1,2.1241198731022757,0.00019529597693709777
GABRP,2.796507667102591,1.4420715883673728e-10
JUP /// KRT17,2.1343078213679676,8.987120786630706e-11
COCH,-2.0734884566129104,7.1687623362889e-08
LCP2,2.0295567940817762,7.729442972007471e-07
FGL1,-2.133829169564224,0.00025596774740978284
ITGBL1,3.175183993565378,6.1045187687392365e-15
HS3ST1,2.0592722467560374,4.639426769781465e-11
CCL20,2.111579517438394,6.759731600369028e-07
SRPX2,2.3286567370023996,2.3894883914224697e-18
TCN1,2.5684126600960275,5.1431211143943995e-08
CALD1,2.0130316545169764,1.8876472404945626e-12
STEAP1,2.075423719324677,2.3016414255166856e-14
BCL2A1,2.093144500282928,2.6326244098313187e-07
COMP,3.304129006834709,6.61972797080995e-17
VNN1,2.0411836119579583,1.3048418553192108e-05
GABBR1 /// UBD,2.5698495586523475,7.127424025536325e-13
CEL,-2.0703209292124893,0.028595164909684508
CTSE,2.348413277892717,2.3760266583151553e-08
COL10A1,3.8641149674870814,1.176046324368631e-20
TDO2,2.2232672007213523,2.875509874126315e-09
TNFAIP6,2.3308053433290175,1.2604798366050586e-12
TNFAIP6,2.3458477105560966,7.842857595491525e-13
EPHA3,2.1087267157998197,9.4345938289147e-10
MATN3,2.2027856420895886,6.992510993690548e-12
CLPS,-2.181767067802512,0.017393813193163552
CPA2,-2.2257264608006353,0.010237597221084936
CST1,3.078061712090209,2.1318023180656938e-15
EGF,-2.2904084828016242,1.2733375733057821e-05
CTRC,-2.1106709612226466,0.016444036104462385
PLA2G1B,-2.0188888861547203,0.04577233051660669
CXCL6,2.0614699335697035,3.292185894533781e-06
RARRES1,2.317439765531984,1.5654716248899785e-13
RARRES1,2.7680262726302,2.8800079464550436e-14
CELA2A /// CELA2B,-2.136203651274212,0.029720761954915048
CELA2A /// CELA2B,-2.403930987266404,0.012187105418871426
LY96,2.243732976939387,7.725172859298128e-09
GP2,-2.583483249010697,0.001567532615490842
PDIA2,-2.7745061010527565,6.6652638742404595e-06
PNLIPRP1,-2.3787371354477282,0.008463613280820887
AQP8,-3.0389408001747205,1.2400520291428618e-05
CELA2B,-2.7040679490426207,0.001707430748789066
CDH11,2.1677355013329165,1.534277847312857e-16
CDH11,3.342209864888012,5.750736963988458e-16
ISLR,2.2287451117874473,1.519773326824399e-15
CELP,-2.490673236024336,0.003124704489255269
PRSS3,-2.2044069970113833,0.002205796989750731
SERPINI2,-3.161735955012002,0.00039615581552062936
ITGB6 /// LOC100505984,2.4366073238069195,2.1081957437034164e-13
PTGIS,2.003489434256066,8.073690651463414e-11
LGALS2,-2.192142825926199,2.9592327759165827e-09
GP2,-2.2968480964915114,0.0071353742158425035
THY1,2.1272200633196707,1.709880679081991e-16
KRT7,2.762852145329896,2.821990696850048e-15
COL6A2,2.0902607960881388,2.9850381556113462e-12
CXCR4,2.0452409066741986,1.0122539072933517e-07
AZGP1,-2.130036034468786,0.00019345129139729044
LOC100506403 /// LOC101928269 /// RUNX1,2.070098404363739,1.8679475057355595e-16
CHI3L1,2.0577020922166662,2.306905541240482e-10
ABAT,-2.075800550602019,8.054089446461956e-07
MXRA5,2.1071296457678357,1.8171240517640447e-15
MOXD1,2.1441736215253226,8.702797504782152e-14
MFAP5,2.325840646318172,1.6646479098638447e-10
KLK10,2.087343159796526,2.8474160629568166e-11
PHLDA2,2.637643551036245,6.576808879805324e-14
SPP1,2.167186045340532,3.7082808429405186e-08
FAP,3.050895763043906,7.968647291296833e-19
OLR1,2.8158617512516275,3.9167086133476626e-16
CCL19,2.053970492697204,1.3172618033297674e-05
IGFBP3,2.675670853795245,1.2083587821675121e-14
DNASE1,-2.6750252054489745,4.713477454901741e-11
GNMT,-2.7714952867544986,2.3845643029771615e-07
FN1,3.0792940625595833,6.164523513687083e-21
INHBA,3.7101962248666505,1.806553800235424e-21
NQO1,2.0388629576586927,2.4389789812911543e-09
PNLIPRP1,-2.695828142282508,0.0009144927375197392
POSTN,5.52229715758119,8.552160011790452e-17
COL3A1,2.8110821155387327,5.609294962673795e-16
ALB,-3.3772289818687096,0.00013344135893927716
IGHG1 /// IGHG2 /// IGHM /// IGHV4-31 /// MIR8071-1 /// MIR8071-2,2.5411692206312524,1.86643481686317e-07
CXCL8,2.393804929025172,3.3877801747074404e-09
VCAN,3.611034401481912,1.4851010088282532e-19
HOPX,2.7876009917631013,2.6684443326931037e-14
CEACAM6,2.7940788603174447,1.060849059975406e-08
PLAU,2.1891339753100123,3.2586599453296837e-13
FN1,3.206924525338398,2.901039524294481e-20
PNLIPRP2,-2.5996380662705483,0.00221814264896959
MYOF,2.1260146697012976,6.371904326269782e-18
CXCR4,2.0280604866821625,8.08036759345316e-08
IGFBP5,2.308741037242082,8.366440389906229e-17
COL4A1,2.1286428873011007,5.5415044729732014e-14
IGFBP3,2.263891056484536,1.0747999214586922e-14
JUP /// KRT17,2.170923554969178,5.0760741811959764e-14
SULF1,3.4084611119263815,1.5479961091788363e-23
SULF1,4.759327019571881,1.2339538617389372e-22
SULF1,4.318407592310838,4.1063553444140153e-23
GPRC5A,2.4514535754780904,2.1299009103726453e-15
FN1,3.247518287688716,6.895173365143421e-21
COL5A1,3.108737979706406,3.5187790014611256e-18
COL5A1,3.196702171684738,1.630256981964048e-17
LCN2,2.5212841052377892,1.8152576440213045e-09
IL1RN,2.0198463668225535,4.18400648697296e-10
OLFM4,2.248946486786618,0.0004386210575517657
CBS,-2.1159446560967283,6.734373678804257e-07
CEMIP,2.314963070850886,3.6255696045025035e-08
AHNAK2,2.3314220859477146,2.0900227537978492e-15
OLFML2B,2.6866103970800084,2.310170574083114e-16
TMEM158,2.027251012855721,6.776744928231362e-13
KRT6B,2.27801763342654,2.3934642653693802e-11
MFAP5,2.2028511827367128,2.1874322689421813e-09
MFAP5,2.2133889257383754,2.7423799897131288e-09
IRAK3,2.0343716585956493,1.2470881356156496e-09
