Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0031505~fungal-type cell wall organization	53	5.435897435897436	8.391729573534123E-13	YDR055W, YKL187C, YLR194C, YLR110C, YBR301W, YGL261C, YNL192W, YOL161C, YMR325W, YDL049C, YIR039C, YKL096W-A, YER033C, YLR037C, YJL223C, YBR067C, YOR010C, YJL159W, YNL322C, YPR030W, YLL064C, YKL163W, YLR461W, YLR332W, YJL174W, YLR300W, YLR413W, YIR041W, YNR076W, YLR414C, YDR077W, YLR390W-A, YGR023W, YLR120C, YOR009W, YOR247W, YIL176C, YDR542W, YJR151C, YJL116C, YOL132W, YGR294W, YNL194C, YNL283C, YLR121C, YDL222C, YOR394W, YJL083W, YER150W, YCR104W, YPL282C	773	139	5681	2.8022466890653064	9.944728374122747E-10	9.944199544637937E-10	9.826715330608459E-10
GOTERM_BP_DIRECT	GO:1902600~hydrogen ion transmembrane transport	38	3.897435897435898	4.005293704273066E-12	YMR256C, YDL067C, YDL245C, YFR033C, YJL219W, YJR158W, YGR183C, YDR536W, YDR343C, YDR345C, YBL099W, Q0105, YCL073C, YDR529C, YHR001W-A, YKR106W, YPR191W, YJR121W, YOL156W, YBL045C, YFL011W, YLR395C, YPL036W, YJL214W, YEL024W, YGL008C, YJR160C, YDR342C, YNR072W, YOR065W, YDL138W, YLR038C, YHR096C, YGR289C, YDL247W, YHR094C, YHR092C, YEL069C	773	83	5681	3.364734487756979	4.746210091610692E-9	2.373136519781792E-9	2.3450994638518804E-9
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	73	7.487179487179488	2.358346787389627E-10	YOR192C, YOR273C, YHL008C, YJR095W, YOR378W, YNL125C, YAL067C, YJL219W, YCL025C, YDR536W, YDR343C, YBR241C, YDL210W, YCL073C, YKR104W, YPR156C, YFL055W, YCR010C, YFL011W, YKR105C, YBR008C, YNR013C, YJL107C, YJR160C, YKL217W, YAL053W, YDR342C, YPL058C, YNR072W, YHR096C, YDL138W, YDL247W, YGR289C, YLL028W, YHR092C, YOL163W, YLR152C, YBL030C, YDL245C, YKL221W, YKR050W, YPL221W, YJR158W, YNL268W, YNR056C, YJL108C, YIR028W, YBR294W, YMR056C, YDR345C, YOR092W, YOR348C, YOL162W, YKR106W, YCL069W, YOL156W, YMR279C, YOR161C, YKL064W, YJL214W, YPL189W, YFL054C, YGL008C, YBR021W, YNL065W, YNR070W, YLR237W, YPR194C, YHR094C, YDL128W, YGR138C, YEL069C, YJR077C	773	255	5681	2.103913958856505	2.794640628911438E-7	9.315469810189027E-8	9.205413626777511E-8
GOTERM_BP_DIRECT	GO:1904659~glucose transmembrane transport	15	1.5384615384615385	1.186899070524912E-9	YOL156W, YFL011W, YJL214W, YDL245C, YJL219W, YJR158W, YDR342C, YDR343C, YNR072W, YDR277C, YHR096C, YDR345C, YHR094C, YHR092C, YEL069C	773	18	5681	6.124407072013799	1.406474354648246E-6	3.516188496430052E-7	3.47464702896168E-7
GOTERM_BP_DIRECT	GO:0015761~mannose transport	14	1.435897435897436	1.8562845427874647E-9	YOL156W, YFL011W, YJL214W, YDL245C, YJL219W, YJR158W, YDR342C, YDR343C, YNR072W, YHR096C, YDR345C, YHR094C, YHR092C, YEL069C	773	16	5681	6.430627425614489	2.1996947987545923E-6	3.666161972005243E-7	3.6228486660068687E-7
GOTERM_BP_DIRECT	GO:0015755~fructose transport	14	1.435897435897436	1.8562845427874647E-9	YOL156W, YFL011W, YJL214W, YDL245C, YJL219W, YJR158W, YDR342C, YDR343C, YNR072W, YHR096C, YDR345C, YHR094C, YHR092C, YEL069C	773	16	5681	6.430627425614489	2.1996947987545923E-6	3.666161972005243E-7	3.6228486660068687E-7
GOTERM_BP_DIRECT	GO:0008645~hexose transport	14	1.435897435897436	2.178980575713993E-8	YOL156W, YFL011W, YJL214W, YDL245C, YJL219W, YJR158W, YDR342C, YDR343C, YNR072W, YBR241C, YHR096C, YDR345C, YHR092C, YEL069C	773	18	5681	5.716113267212879	2.5820586723179773E-5	3.6887028317444023E-6	3.6451232202301223E-6
GOTERM_BP_DIRECT	GO:0008643~carbohydrate transport	19	1.948717948717949	5.379089971685214E-8	YOL156W, YFL011W, YJL214W, YDL245C, YJL219W, YJR158W, YJR160C, YDR342C, YDR536W, YDR343C, YNR072W, YDL138W, YHR096C, YDR345C, YGR289C, YDL247W, YHR094C, YHR092C, YEL069C	773	34	5681	4.106955330644547	6.37401864076459E-5	7.967777020558724E-6	7.873642946054233E-6
GOTERM_BP_DIRECT	GO:0030435~sporulation resulting in formation of a cellular spore	36	3.6923076923076925	5.413148710600397E-7	YCR045C, YPL027W, YDR402C, YDR523C, YHR014W, YBL066C, YJL037W, YMR148W, YPL130W, YJL106W, YNL204C, YLR341W, YNL202W, YIL073C, YER096W, YEL060C, YDR403W, YER132C, YDR273W, YGR032W, YIL099W, YLR054C, YDL222C, YHR139C, YPL200W, YHR184W, YGL192W, YAL051W, YMR017W, YMR306W, YOL047C, YMR067C, YOR177C, YJL048C, YJL103C, YJL038C	773	110	5681	2.405221686463601	6.412526054067058E-4	7.127312468957188E-5	7.04310793345896E-5
GOTERM_BP_DIRECT	GO:0006122~mitochondrial electron transport, ubiquinol to cytochrome c	11	1.1282051282051282	3.2004898588460656E-6	YPR191W, YEL039C, YGR183C, YOR065W, YEL024W, Q0105, Q0115, YDR529C, YHR001W-A, YFR033C, YJR048W	773	15	5681	5.389478223372143	0.003785403778672425	3.7925804827325876E-4	3.7477736247087425E-4
GOTERM_BP_DIRECT	GO:0006754~ATP biosynthetic process	10	1.0256410256410255	3.511039773773316E-5	YLR295C, YKL016C, YJR121W, YDR322C-A, YPL271W, Q0085, YBL099W, YOL077W-A, YPR020W, YBR039W	773	15	5681	4.89952565761104	0.04075287954878659	0.0037416951404729846	0.0036974894594884932
