gender	age	col2	col3	col4
M	28	534	980	857
F	23	955	399	385
F	33	268	441	696
M	83	251	157	628
F	83	928	327	451
F	58	69	315	474
M	58	300	895	950
F	29	592	248	84
M	70	204	311	280
M	80	636	409	448
F	45	799	709	588
F	45	502	144	878
M	47	651	872	470
F	28	796	84	438
M	68	234	462	747
M	91	601	31	468
M	91	113	754	861
M	75	516	701	467
M	27	838	215	499
M	69	921	680	488
M	14	499	558	230
M	13	278	851	86
M	20	653	559	68
F	15	918	902	889
M	59	510	420	234
F	8	975	359	862
M	83	198	489	712
M	73	112	256	873
M	93	298	930	939
M	50	397	467	140
F	66	421	255	394
M	90	312	432	981
F	54	694	703	645
F	29	92	403	897
F	98	403	182	483
F	4	296	857	15
F	33	307	585	623
F	98	106	374	232
F	37	594	222	528
F	31	283	219	725
M	13	156	523	608
M	92	1	434	589
F	14	284	742	434
F	34	551	71	245
M	90	871	848	429
F	50	43	680	11
M	62	905	137	609
M	59	131	859	958
M	70	834	200	96
M	3	801	608	36
M	53	918	544	887
M	4	138	163	247
M	83	505	6	9
F	34	405	772	815
F	85	174	765	141
F	25	576	422	880
M	59	607	57	96
M	94	215	586	353
F	5	520	175	594
F	6	990	729	586
F	3	490	535	668
F	69	695	254	649
F	60	412	918	434
F	12	35	759	140
F	80	293	888	752
F	62	802	69	242
F	8	347	184	651
F	7	84	738	858
M	14	512	697	85
M	79	367	777	973
F	10	740	502	32
M	24	525	426	836
M	25	805	612	836
M	11	817	856	50
F	86	190	671	546
M	70	124	524	944
F	74	821	299	322
F	66	638	704	807
M	52	17	382	602
M	33	896	568	790
M	67	516	888	800
F	12	545	843	50
F	15	607	899	284
M	2	761	940	654
M	97	856	816	490
F	98	383	2	973
F	13	85	4	749
F	47	734	88	568
F	66	332	261	299
M	30	840	23	257
F	76	372	425	887
F	56	829	342	447
M	43	177	542	816
F	27	130	927	99
F	76	880	299	860
M	90	45	339	28
M	73	687	860	900
M	41	734	341	900
F	94	438	139	525
M	26	380	508	121
