C:\BMES301_Data\2021-10-08\lab1_g07_s2 10082021 023723_tdf.CSV,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Created ,10/8/2021,2:37:23 PM,,,,,,,,,,,,,,,,
Exported,10/8/2021,2:39:55 PM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Channels,,,,,,,,,,,,,,,,,,
Disp,Load,Load 2,Ch 3,Ch 4,Temperature,DirCmd A,UserCalc1,E11,E12,E22,PS1,PS2,Axial cmd,Axial err,Axial drv,Temp cmd,Temp err,Temp drv
,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,,,,,,,,
mm,N,N,V,V,C,V,V,%,%,%,%,%,mm,%,%,C,%,%
,,,,,,,,,,,,,,,,,,
Movers,,,,,,,,,,,,,,,,,,
Axial,Temp,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Workspace Unsecure,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,,,,,,,,,
****Waveform Information is written at start of Data Acquisition, not start of waveform.****,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Axial,Block,Step:1,Ramp to Level,Control Channel Load,Level: 0.140400,Rate: 0.100000,Channel: Load,,,,,,,,,,,
Axial,Block,Step:2,Dwell,Control Channel Disp,Time: 10.000000,,,,,,,,,,,,,
Axial,Block,Step:3,Triangle Wave,Control Channel Disp,Level1: 0.000000,Level2: 0.464000,Cycles: 20,Frequency: 0.167000,,,,,,,,,,
Axial,Block,Step:4,Dwell,Control Channel Disp,Time: 10.000000,,,,,,,,,,,,,
Axial,Block,Step:5,Ramp,Control Channel Disp,Level: 1.160000,Rate: 0.116000,,,,,,,,,,,,
Temp,Sine Wave,Control Channel Temperature,Level1: 2.0,Level2: 2.0,Frequency: 1.0,Cycles: 1000000,Start Frequency: 1.0,Done Frequency: 1.0,Done Level: 0.0,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,,,,,,,,,
****Tuning Parameters.****,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Axial,Control Channel Disp,TuneIQ Mode ,TuneIQ1: 0.6310206,TuneIQ2: 0.0085844,TuneIQ3: -2.5804174,TuneIQ4: 0.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,,,,,,,,,,
Axial,Control Channel Load,TuneIQ Mode ,TuneIQ1: 0.0414904,TuneIQ2: 0.0289848,TuneIQ3: 0.0000000,TuneIQ4: 200.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,,,,,,,,,,
