C:\BMES301_Data\2019-11-08\Lab3_S061_G03_S1 11082019 110934_tdf.CSV


Created ,11/8/2019,11:09:34 AM
Exported,11/8/2019,11:11:37 AM

Channels
Disp,Load,Load 2,Ch 3,Ch 4,Temperature,DirCmd A,UserCalc1,E11,E12,E22,PS1,PS2,Axial cmd,Axial err,Axial drv,Temp cmd,Temp err,Temp drv,

Units
mm,N,N,V,V,C,V,V,%,%,%,%,%,mm,%,%,C,%,%,

Movers
Axial,Temp,

Workspace Unsecure

_______________________________________________________________________________________
****Waveform Information is written at start of Data Acquisition, not start of waveform.****

Axial,Block,Step:1,Ramp to Level,Control Channel Load,Level: -0.500000,Rate: 0.100000,Channel: Load,
Axial,Block,Step:2,Dwell,Control Channel Disp,Time: 60.000000,
Axial,Block,Step:3,Ramp,Control Channel Disp,Level: -0.300000,Rate: 0.450000,
Axial,Block,Step:4,Dwell,Control Channel Disp,Time: 60.000000,
Temp,Sine Wave,Control Channel Temperature,Level1: 2.0,Level2: 2.0,Frequency: 1.0,Cycles: 1000000,Start Frequency: 1.0,Done Frequency: 1.0,Done Level: 0.0,
_______________________________________________________________________________________


_______________________________________________________________________________________
****Tuning Parameters.****

Axial,Control Channel Disp,TuneIQ Mode ,TuneIQ1: 0.6310206,TuneIQ2: 0.0085844,TuneIQ3: -2.5804174,TuneIQ4: 0.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,
Axial,Control Channel Load,TuneIQ Mode ,TuneIQ1: 0.0414904,TuneIQ2: 0.0289848,TuneIQ3: 0.0000000,TuneIQ4: 200.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,
Axial,Control Channel Load 2,TuneIQ Mode ,TuneIQ1: 0.0000000,TuneIQ2: 0.0001000,TuneIQ3: 0.0000000,TuneIQ4: 0.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,
Axial,Control Channel DirCmd A,Manual Tune Mode,PTerm: 1.0000000,ITerm: 0.0000000,DTerm: 0.0000000,OTerm: 0,
Temp,Control Channel Temperature,TuneIQ Mode ,TuneIQ1: 0.0000000,TuneIQ2: 0.0001000,TuneIQ3: 0.0000000,TuneIQ4: 0.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,
_______________________________________________________________________________________

_______________________________________________________________________________________

   
Axial Counts,16
"Points","Elapsed Time","Scan Time","Disp","Load",
"","Sec","Sec","mm","N",
1,0.0000,0.0000,0.200137,-0.07,
2,0.1464,0.1464,0.137881,-0.53,
3,0.2928,0.2928,0.073348,-1.32,
4,0.4392,0.4392,0.009651,-2.64,
5,0.5856,0.5856,-0.053363,-4.80,
6,0.7320,0.7320,-0.099377,-6.69,
7,0.8784,0.8784,-0.101910,-6.20,
8,1.0248,1.0248,-0.101318,-5.76,
9,1.1712,1.1712,-0.100954,-5.45,
10,1.3176,1.3176,-0.100851,-5.21,
11,1.4640,1.4640,-0.100665,-5.01,
12,1.6104,1.6104,-0.100568,-4.83,
13,1.7568,1.7568,-0.100652,-4.70,
14,1.9032,1.9032,-0.100572,-4.57,
15,2.0496,2.0496,-0.100406,-4.43,
16,2.1960,2.1960,-0.100402,-4.33,
17,2.3424,2.3424,-0.100394,-4.23,
18,2.4888,2.4888,-0.100422,-4.15,
19,2.6352,2.6352,-0.100315,-4.04,
20,2.7816,2.7816,-0.100300,-3.96,
21,2.9280,2.9280,-0.100341,-3.89,
22,3.0744,3.0744,-0.100304,-3.81,
23,3.2208,3.2208,-0.100241,-3.74,
24,3.3672,3.3672,-0.100301,-3.69,
25,3.5136,3.5136,-0.100298,-3.63,
26,3.6600,3.6600,-0.100350,-3.58,
27,3.8064,3.8064,-0.100307,-3.50,
28,3.9528,3.9528,-0.100251,-3.45,
29,4.0992,4.0992,-0.100141,-3.40,
30,4.2456,4.2456,-0.100247,-3.36,
31,4.3920,4.3920,-0.100175,-3.32,
32,4.5384,4.5384,-0.100269,-3.26,
33,4.6848,4.6848,-0.100257,-3.22,
34,4.8312,4.8312,-0.100187,-3.17,
35,4.9776,4.9776,-0.100245,-3.15,
36,5.1240,5.1240,-0.100224,-3.10,
37,5.2704,5.2704,-0.100119,-3.06,
38,5.4168,5.4168,-0.100174,-3.02,
39,5.5632,5.5632,-0.100114,-2.99,
40,5.7096,5.7096,-0.100119,-2.97,
41,5.8560,5.8560,-0.100253,-2.94,
42,6.0024,6.0024,-0.100172,-2.90,
43,6.1488,6.1488,-0.100193,-2.86,
44,6.2952,6.2952,-0.100204,-2.84,
45,6.4416,6.4416,-0.100172,-2.80,
46,6.5880,6.5880,-0.100186,-2.78,
47,6.7344,6.7344,-0.100154,-2.75,
48,6.8808,6.8808,-0.100193,-2.71,
49,7.0272,7.0272,-0.100194,-2.71,
50,7.1736,7.1736,-0.100234,-2.68,
51,7.3200,7.3200,-0.100127,-2.66,
52,7.4664,7.4664,-0.100131,-2.63,
53,7.6128,7.6128,-0.100099,-2.58,
54,7.7592,7.7592,-0.100086,-2.58,
55,7.9056,7.9056,-0.100145,-2.54,
56,8.0520,8.0520,-0.100120,-2.53,
57,8.1984,8.1984,-0.100198,-2.52,
58,8.3448,8.3448,-0.100175,-2.51,
59,8.4912,8.4912,-0.100185,-2.47,
60,8.6376,8.6376,-0.100205,-2.46,
61,8.7840,8.7840,-0.100153,-2.44,
62,8.9304,8.9304,-0.100175,-2.42,
63,9.0768,9.0768,-0.100128,-2.40,
64,9.2232,9.2232,-0.100186,-2.37,
65,9.3696,9.3696,-0.100097,-2.36,
66,9.5160,9.5160,-0.100143,-2.33,
67,9.6624,9.6624,-0.100065,-2.31,
68,9.8088,9.8088,-0.100144,-2.31,
69,9.9552,9.9552,-0.100179,-2.30,
70,10.1016,10.1016,-0.100114,-2.27,
71,10.2480,10.2480,-0.100136,-2.26,
72,10.3944,10.3944,-0.100133,-2.25,
73,10.5408,10.5408,-0.100145,-2.22,
74,10.6872,10.6872,-0.100144,-2.21,
75,10.8336,10.8336,-0.100151,-2.20,
76,10.9800,10.9800,-0.100092,-2.18,
77,11.1264,11.1264,-0.100150,-2.16,
78,11.2728,11.2728,-0.100150,-2.16,
79,11.4192,11.4192,-0.100167,-2.14,
80,11.5656,11.5656,-0.100153,-2.13,
81,11.7120,11.7120,-0.100060,-2.13,
82,11.8584,11.8584,-0.100070,-2.09,
83,12.0048,12.0048,-0.100104,-2.08,
84,12.1512,12.1512,-0.100059,-2.08,
85,12.2976,12.2976,-0.100126,-2.06,
86,12.4440,12.4440,-0.100164,-2.05,
87,12.5904,12.5904,-0.100133,-2.05,
88,12.7368,12.7368,-0.100174,-2.03,
89,12.8832,12.8832,-0.100075,-2.03,
90,13.0296,13.0296,-0.100143,-2.00,
91,13.1760,13.1760,-0.100119,-2.00,
92,13.3224,13.3224,-0.100082,-1.98,
93,13.4688,13.4688,-0.100126,-1.95,
94,13.6152,13.6152,-0.100119,-1.95,
95,13.7616,13.7616,-0.100170,-1.94,
96,13.9080,13.9080,-0.100169,-1.94,
97,14.0544,14.0544,-0.100158,-1.92,
