DEGenes	NumDiseases	DiseaseList
ACTA2	2	Breast cancer, Parkinson's disease
ACTB	19	Adenomyosis, Parkinson's disease
ACTB /// ACTG1	36	Adenomyosis, Parkinson's disease, Prostate cancer, Uterine fibroid
ACTC1	1	Prostate cancer - adjacent
ALDOA	2	Adenomyosis
ALDOB	1	Parkinson's disease
ANXA1	1	Adenomyosis
ANXA2	3	Adenomyosis
APOC1	4	BPH, Parkinson's disease, Prostate cancer
APOD	2	Adenomyosis, Rheumatoid arthritis
AQP3	1	Melanoma
ARPC2	2	Parkinson's disease
ATP1B1	1	Parkinson's disease
ATP2A2	3	Parkinson's disease, Uterine fibroid
ATP5A1	4	Adenomyosis, Parkinson's disease, Uterine fibroid
ATP5B	4	Adenomyosis, Parkinson's disease, Uterine fibroid
ATP5E	1	Parkinson's disease
ATP6	4	Adenomyosis, BPH, Parkinson's disease, Prostate cancer
B2M	3	Adenomyosis, Melanoma
BTF3	2	Parkinson's disease, Uterine fibroid
C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C	4	Adenomyosis, Parkinson's disease
C3	1	Prostate cancer - adjacent
CA3	3	Adenomyosis, BPH, Prostate cancer - adjacent
CALD1	1	Adenomyosis
CALM1 /// CALM2 /// CALM3	5	Adenomyosis, Parkinson's disease, Uterine fibroid
CAPN2	3	Adenomyosis, Parkinson's disease, Uterine fibroid
CAV1	2	Adenomyosis, Rheumatoid arthritis
CD74	2	BPH, Parkinson's disease
CFL1	6	Melanoma, Parkinson's disease, Uterine fibroid
CHCHD2	3	Parkinson's disease, Uterine fibroid
CLIC1	2	Adenomyosis, Uterine fibroid
CLU	2	Adenomyosis
COL1A1	3	Prostate cancer - adjacent, Uterine fibroid
COL3A1	7	Parkinson's disease, Prostate cancer - adjacent, Uterine fibroid
COL6A3	2	Prostate cancer - adjacent, Uterine fibroid
COX1	3	Adenomyosis, Parkinson's disease
COX2	8	Adenomyosis, Parkinson's disease, Prostate cancer
COX6A1	3	Parkinson's disease, Uterine fibroid
CRYAB	1	Rheumatoid arthritis
CSTA	1	Uterine fibroid
CSTB	2	Adenomyosis, Parkinson's disease
CYAT1 /// IGLC1 /// IGLV1-44	2	Adenomyosis, Rheumatoid arthritis
CYCS	1	Parkinson's disease
CYR61	2	Adenomyosis, BPH
DCN	2	Rheumatoid arthritis
DDX5 /// MIR3064 /// MIR5047	3	Parkinson's disease, Prostate cancer, Uterine fibroid
DSP	1	Rheumatoid arthritis
DSTN	6	Adenomyosis, Parkinson's disease, Rheumatoid arthritis
DUSP1	3	BPH, Melanoma, Uterine fibroid
EEF1A1	15	Adenomyosis, Parkinson's disease, Prostate cancer, Uterine fibroid
EEF1B2 /// SNORA41	2	Parkinson's disease
