Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0042254~ribosome biogenesis	74	6.764168190127971	5.357258297872406E-15	1775172_AT, 1779813_AT, 1773669_AT, 1771304_AT, 1775233_AT, 1769890_AT, 1777632_AT, 1778323_AT, 1771012_AT, 1773258_AT, 1769511_AT, 1777706_AT, 1771490_AT, 1774693_AT, 1770106_AT, 1769852_AT, 1779525_AT, 1772742_AT, 1776091_AT, 1774277_AT, 1769871_AT, 1779516_AT, 1774453_AT, 1774883_AT, 1775150_AT, 1777241_AT, 1772239_AT, 1779808_AT, 1778912_AT, 1778038_AT, 1772846_AT, 1769597_AT, 1772508_AT, 1775468_AT, 1772676_AT, 1773300_AT, 1771463_AT, 1776498_AT, 1770047_AT, 1775052_AT, 1774223_AT, 1770861_AT, 1774980_AT, 1777403_AT, 1772847_AT, 1772264_AT, 1772174_AT, 1776267_AT, 1776619_AT, 1778219_AT, 1770824_AT, 1773288_AT, 1776118_AT, 1779287_AT, 1770876_AT, 1771324_AT, 1772442_AT, 1778932_AT, 1778653_AT, 1777948_AT, 1777020_AT, 1774976_AT, 1774903_AT, 1776859_AT, 1779249_AT, 1774035_AT, 1774186_AT, 1778063_AT, 1774335_AT, 1778980_AT, 1771706_AT, 1775762_AT, 1774349_AT, 1773719_AT	1065	251	9427	2.6096477938013205	8.851586130731448E-12	8.898406032766066E-12	8.748402800425639E-12
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	76	6.946983546617916	2.139041469352001E-11	1775172_AT, 1773669_AT, 1771304_AT, 1775233_AT, 1769890_AT, 1777632_AT, 1777489_AT, 1778323_AT, 1769511_AT, 1777481_AT, 1777706_AT, 1771490_AT, 1774693_AT, 1770106_AT, 1775352_AT, 1769852_AT, 1776345_AT, 1779525_AT, 1772742_AT, 1774277_AT, 1769871_AT, 1774453_AT, 1774883_AT, 1777551_AT, 1773099_AT, 1771626_AT, 1779808_AT, 1770173_AT, 1774541_AT, 1777967_AT, 1778912_AT, 1770884_S_AT, 1769637_AT, 1778038_AT, 1769597_AT, 1772508_AT, 1775055_AT, 1775468_AT, 1774276_AT, 1775722_AT, 1772676_AT, 1773300_AT, 1774018_AT, 1769758_AT, 1776498_AT, 1777204_AT, 1770047_AT, 1775052_AT, 1774223_AT, 1770861_AT, 1771367_AT, 1777153_AT, 1774980_AT, 1777403_AT, 1771831_AT, 1772847_AT, 1779447_AT, 1772174_AT, 1776619_AT, 1776118_AT, 1770876_AT, 1771324_AT, 1772442_AT, 1778932_AT, 1778099_AT, 1777948_AT, 1780190_AT, 1774976_AT, 1774903_AT, 1776859_AT, 1774035_AT, 1774186_AT, 1778063_AT, 1774335_AT, 1778980_AT, 1775762_AT, 1774349_AT	1065	304	9427	2.2129107981220657	3.552952843044466E-8	1.7764739402968368E-8	1.7465273597259087E-8
GOTERM_BP_DIRECT	GO:0006811~ion transport	37	3.3820840950639854	9.227262562430939E-9	1776417_AT, 1779454_AT, 1773321_AT, 1772622_AT, 1772347_AT, 1776679_AT, 1773749_AT, 1774022_AT, 1771344_AT, 1777881_AT, 1774500_AT, 1779979_AT, 1773278_AT, 1773546_AT, 1777623_AT, 1773089_AT, 1779093_AT, 1773699_AT, 1770039_AT, 1779539_AT, 1772170_AT, 1777033_AT, 1778706_AT, 1778053_AT, 1774527_AT, 1778416_AT, 1778896_AT, 1779820_AT, 1771479_AT, 1774560_AT, 1778743_AT, 1776583_AT, 1779910_AT, 1770017_AT, 1779628_AT, 1769853_AT, 1775852_AT	1065	117	9427	2.7992375907868867	1.5326365649270812E-5	5.108827705399263E-6	5.022706588149908E-6
GOTERM_BP_DIRECT	GO:0031167~rRNA methylation	26	2.376599634369287	6.670925522509484E-8	1773669_AT, 1773300_AT, 1771304_AT, 1775233_AT, 1777632_AT, 1778323_AT, 1776498_AT, 1777706_AT, 1770047_AT, 1770861_AT, 1774980_AT, 1779525_AT, 1777403_AT, 1774277_AT, 1769871_AT, 1776118_AT, 1770876_AT, 1774883_AT, 1771324_AT, 1779808_AT, 1774976_AT, 1778912_AT, 1776859_AT, 1774335_AT, 1778980_AT, 1775762_AT	1065	70	9427	3.2877531857813547	1.1079793808932425E-4	2.7701018232220632E-5	2.7234053445644968E-5
GOTERM_BP_DIRECT	GO:0031505~fungal-type cell wall organization	40	3.656307129798903	6.171506976854243E-7	1769731_AT, 1778568_AT, 1779242_AT, 1770747_AT, 1774876_AT, 1771323_AT, 1771778_AT, 1778486_AT, 1779045_AT, 1771218_AT, 1775973_AT, 1774355_AT, 1771091_AT, 1773766_AT, 1772681_S_AT, 1778194_AT, 1770750_AT, 1769558_AT, 1776173_AT, 1778969_X_AT, 1770515_X_AT, 1778777_AT, 1776229_AT, 1778951_AT, 1779134_AT, 1774829_AT, 1778121_S_AT, 1769518_X_AT, 1772558_AT, 1779506_AT, 1770713_AT, 1772556_AT, 1775166_AT, 1771134_AT, 1774169_AT, 1779140_AT, 1776931_X_AT, 1770852_AT, 1777083_AT, 1773828_AT	1065	153	9427	2.3141550830034676	0.0010245624022874322	2.0501746177109797E-4	2.015614178640596E-4
GOTERM_BP_DIRECT	GO:0071555~cell wall organization	32	2.9250457038391224	8.637688977958936E-7	1769731_AT, 1773780_AT, 1775390_AT, 1777892_AT, 1778568_AT, 1778486_AT, 1779045_AT, 1774629_AT, 1773766_AT, 1772384_AT, 1778194_AT, 1780031_AT, 1771334_AT, 1778777_AT, 1779965_AT, 1771206_AT, 1769455_AT, 1774432_AT, 1779506_AT, 1772556_AT, 1771176_AT, 1776434_AT, 1775397_AT, 1776711_AT, 1775095_AT, 1775166_AT, 1774169_AT, 1770055_AT, 1777083_AT, 1773828_AT, 1772001_AT, 1772005_AT	1065	110	9427	2.575023474178404	0.0014336920389874663	2.391200232064965E-4	2.3508910168344905E-4
GOTERM_BP_DIRECT	GO:0042273~ribosomal large subunit biogenesis	26	2.376599634369287	2.0473597679013366E-6	1773258_AT, 1777481_AT, 1771490_AT, 1774223_AT, 1771126_AT, 1775352_AT, 1769852_AT, 1772847_AT, 1772264_AT, 1772174_AT, 1779516_AT, 1775150_AT, 1778653_AT, 1772239_AT, 1777948_AT, 1778912_AT, 1772638_AT, 1774035_AT, 1778063_AT, 1778038_AT, 1769597_AT, 1774349_AT, 1770109_AT, 1772508_AT, 1773719_AT, 1779169_AT	1065	82	9427	2.8066185732279854	0.003394892333096866	4.47492024146208E-4	4.3994851019311113E-4
GOTERM_BP_DIRECT	GO:0008652~cellular amino acid biosynthetic process	29	2.6508226691042047	2.1552897008848066E-6	1772003_AT, 1780059_AT, 1779643_AT, 1777374_AT, 1776998_AT, 1769937_AT, 1771346_AT, 1777388_AT, 1771051_AT, 1773884_AT, 1772287_AT, 1773750_AT, 1770440_AT, 1777629_AT, 1779000_AT, 1772648_AT, 1776084_AT, 1779478_AT, 1775847_AT, 1779675_AT, 1780138_AT, 1773727_AT, 1774930_AT, 1773765_AT, 1771962_AT, 1772615_AT, 1773900_AT, 1769943_AT, 1770279_AT	1065	98	9427	2.6193638018587717	0.0035735397056667617	4.47492024146208E-4	4.3994851019311113E-4
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	64	5.850091407678245	3.342092385952322E-6	1779454_AT, 1780248_AT, 1769997_AT, 1776679_AT, 1777376_AT, 1775560_AT, 1774074_S_AT, 1774026_AT, 1773749_AT, 1773075_AT, 1774022_AT, 1771724_AT, 1774500_AT, 1779789_AT, 1773278_AT, 1775820_AT, 1777623_AT, 1773829_AT, 1779256_AT, 1780075_AT, 1779871_AT, 1779445_AT, 1778215_AT, 1770364_AT, 1773649_AT, 1778416_AT, 1773748_AT, 1778989_AT, 1769385_AT, 1777689_AT, 1777668_AT, 1779910_AT, 1772726_AT, 1771408_AT, 1775852_AT, 1777714_AT, 1772347_AT, 1774072_AT, 1772622_AT, 1778973_AT, 1776773_AT, 1778203_AT, 1777881_AT, 1779979_AT, 1770480_AT, 1773529_AT, 1775396_AT, 1779093_AT, 1778666_AT, 1772170_AT, 1779075_AT, 1770792_AT, 1778183_AT, 1773316_AT, 1773594_AT, 1778766_AT, 1775399_AT, 1779524_AT, 1779494_AT, 1770017_AT, 1778141_AT, 1771000_AT, 1780091_AT, 1774944_S_AT, 1769853_AT	1065	315	9427	1.7984290930769802	0.005535845153076924	6.16801717007423E-4	6.064040962511269E-4
GOTERM_BP_DIRECT	GO:0007049~cell cycle	74	6.764168190127971	7.764844318963817E-6	1777928_AT, 1774857_AT, 1779586_AT, 1775640_AT, 1770636_AT, 1777896_AT, 1772894_AT, 1771119_AT, 1769374_AT, 1772968_AT, 1780129_AT, 1779227_AT, 1777918_AT, 1769657_AT, 1776707_AT, 1775522_AT, 1775262_AT, 1770626_AT, 1770463_AT, 1772648_AT, 1775719_AT, 1776420_AT, 1775641_AT, 1778024_AT, 1778546_AT, 1774883_AT, 1777660_AT, 1779843_AT, 1775320_AT, 1771389_AT, 1770864_AT, 1779631_AT, 1772846_AT, 1776004_AT, 1776614_AT, 1779169_AT, 1772821_AT, 1775481_AT, 1775495_AT, 1774775_AT, 1770871_AT, 1771925_AT, 1775739_AT, 1779584_AT, 1777701_AT, 1769793_AT, 1777807_AT, 1775161_AT, 1776407_AT, 1778802_AT, 1769770_AT, 1772084_AT, 1769665_AT, 1775444_AT, 1779753_AT, 1777138_AT, 1779350_AT, 1778322_AT, 1774342_AT, 1772442_AT, 1772533_AT, 1776774_AT, 1780046_AT, 1771451_AT, 1774035_AT, 1778833_AT, 1769666_AT, 1774087_AT, 1779389_AT, 1769796_AT, 1769740_AT, 1773828_AT, 1773361_AT, 1775720_AT	1065	391	9427	1.6752470492177274	0.01281464071526428	0.00128974064137989	0.0012679990772867912
