Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04150:mTOR signaling pathway	10	3.8314176245210727	2.1432531124139617E-4	NM_000875, NM_000368, NM_006252, NM_001008738, NM_017412, NM_014683, NM_001079817, NM_012193, NM_001111284, NM_152756	109	156	8142	4.788285109386027	0.04401507918439573	0.0450083153606932	0.044365339426969005
KEGG_PATHWAY	hsa04550:Signaling pathways regulating pluripotency of stem cells	9	3.4482758620689653	5.969517990899935E-4	NM_001111033, NM_000875, NM_020159, NM_017412, NM_004821, NM_006315, NM_012193, NM_001111284, NM_020327	109	143	8142	4.701225380124463	0.11785365227034073	0.06267993890444931	0.061784511205814324
KEGG_PATHWAY	hsa04152:AMPK signaling pathway	8	3.065134099616858	0.0010342141542297927	NM_003749, NM_000875, NM_000368, NM_005063, NM_006252, NM_013302, NM_001079817, NM_001111284	109	120	8142	4.9798165137614685	0.1953093472911671	0.07239499079608548	0.0713607766418557
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	8	3.065134099616858	0.0017228105576401137	NM_003749, NM_000875, NM_006252, NM_058229, NM_001079817, NM_000639, NM_001130916, NM_001111284	109	131	8142	4.561663982071574	0.30378880494848937	0.09044755427610597	0.08915544635787588
KEGG_PATHWAY	hsa04211:Longevity regulating pathway	6	2.2988505747126435	0.006427864630861442	NM_003749, NM_000875, NM_000368, NM_006252, NM_001079817, NM_001111284	109	89	8142	5.035769508298114	0.7418484813784514	0.2699703144961806	0.2661135957176637
KEGG_PATHWAY	hsa04213:Longevity regulating pathway - multiple species	5	1.9157088122605364	0.009056495107582462	NM_003749, NM_000875, NM_006252, NM_001079817, NM_001111284	109	62	8142	6.023971589227582	0.851997843778804	0.31697732876538615	0.3124490812115949
KEGG_PATHWAY	hsa04140:Autophagy - animal	7	2.681992337164751	0.010953295019712646	NM_003749, NM_000875, NM_000368, NM_017919, NM_144775, NM_006252, NM_014683	109	141	8142	3.708373999609604	0.9010244120184077	0.3285988505913794	0.32390458129721683
KEGG_PATHWAY	hsa04115:p53 signaling pathway	5	1.9157088122605364	0.015823081543581467	NM_001165931, NM_032991, NM_182915, NM_001204171, NM_001111284	109	73	8142	5.116249842905618	0.9648951721182603	0.37794807519473606	0.37254881697766845
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	10	3.8314176245210727	0.016197774651202975	NM_001111033, NM_001838, NM_002188, NM_001066, NM_001001557, NM_000639, NM_003811, NM_001130916, NM_020327, NM_003999	109	295	8142	2.532110091743119	0.967593052571936	0.37794807519473606	0.37254881697766845
KEGG_PATHWAY	hsa04360:Axon guidance	7	2.681992337164751	0.03372731566366066	NM_014813, NM_004263, NM_032521, NM_017412, NM_018984, NM_017789, NM_020911	109	182	8142	2.8729710656316163	0.9992570877059516	0.7082736289368738	0.6981554342377757
KEGG_PATHWAY	hsa04923:Regulation of lipolysis in adipocytes	4	1.532567049808429	0.037886580061686825	NM_003749, NM_000025, NM_000684, NM_001079817	109	56	8142	5.335517693315859	0.9996997263629949	0.7204994538070282	0.7102066044669277
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	9	3.4482758620689653	0.04117139736040161	NM_032991, NM_000875, NM_005739, NM_003618, NM_145687, NM_001079817, NM_000639, NM_001130916, NM_001111284	109	294	8142	2.2866504399925107	0.9998535781155714	0.7204994538070282	0.7102066044669277
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	7	2.681992337164751	0.05468883026240102	NM_032991, NM_000875, NM_017412, NM_000089, NM_000639, NM_012193, NM_001111284	109	205	8142	2.550637726560752	0.999992574840293	0.8600986167024326	0.8478114936066836
KEGG_PATHWAY	hsa04390:Hippo signaling pathway	6	2.2988505747126435	0.05733990778016217	NM_032521, NM_017412, NM_001001557, NM_033119, NM_012193, NM_001130916	109	157	8142	2.8546718868696312	0.999995883050752	0.8600986167024326	0.8478114936066836
KEGG_PATHWAY	hsa04920:Adipocytokine signaling pathway	4	1.532567049808429	0.06339356242923774	NM_003749, NM_006252, NM_001066, NM_001205248	109	69	8142	4.330275229357799	0.999998935859229	0.8875098740093283	0.874831161523481
KEGG_PATHWAY	hsa00512:Mucin type O-glycan biosynthesis	3	1.1494252873563218	0.08206958679808869	NM_020156, NM_016591, NM_020474	109	36	8142	6.224770642201835	0.9999999845100701	1.0	0.9904306220095693
