From	To	Species	Gene Name
205111_S_AT	PLCE1	Homo sapiens	phospholipase C epsilon 1(PLCE1)
205913_AT	PLIN1	Homo sapiens	perilipin 1(PLIN1)
219643_AT	LRP1B	Homo sapiens	LDL receptor related protein 1B(LRP1B)
242945_AT	FAM20A	Homo sapiens	FAM20A golgi associated secretory pathway pseudokinase(FAM20A)
205959_AT	MMP13	Homo sapiens	matrix metallopeptidase 13(MMP13)
205237_AT	FCN1	Homo sapiens	ficolin 1(FCN1)
206666_AT	GZMK	Homo sapiens	granzyme K(GZMK)
209955_S_AT	FAP	Homo sapiens	fibroblast activation protein alpha(FAP)
239752_AT	CECR2	Homo sapiens	CECR2 histone acetyl-lysine reader(CECR2)
214669_X_AT	IGKC	Homo sapiens	immunoglobulin kappa constant(IGKC)
217428_S_AT	COL10A1	Homo sapiens	collagen type X alpha 1 chain(COL10A1)
212827_AT	IGHM	Homo sapiens	immunoglobulin heavy constant mu(IGHM)
202952_S_AT	ADAM12	Homo sapiens	ADAM metallopeptidase domain 12(ADAM12)
1559640_AT	ANKFN1	Homo sapiens	ankyrin repeat and fibronectin type III domain containing 1(ANKFN1)
205306_X_AT	KMO	Homo sapiens	kynurenine 3-monooxygenase(KMO)
204388_S_AT	MAOA	Homo sapiens	monoamine oxidase A(MAOA)
203929_S_AT	MAPT	Homo sapiens	microtubule associated protein tau(MAPT)
211339_S_AT	ITK	Homo sapiens	IL2 inducible T cell kinase(ITK)
227677_AT	JAK3	Homo sapiens	Janus kinase 3(JAK3)
229147_AT	RASSF6	Homo sapiens	Ras association domain family member 6(RASSF6)
210119_AT	KCNJ15	Homo sapiens	potassium inwardly rectifying channel subfamily J member 15(KCNJ15)
215382_X_AT	TPSB2	Homo sapiens	tryptase beta 2(TPSB2)
239787_AT	KCTD4	Homo sapiens	potassium channel tetramerization domain containing 4(KCTD4)
204932_AT	TNFRSF11B	Homo sapiens	TNF receptor superfamily member 11b(TNFRSF11B)
210644_S_AT	LAIR1	Homo sapiens	leukocyte associated immunoglobulin like receptor 1(LAIR1)
1555759_A_AT	CCL5	Homo sapiens	C-C motif chemokine ligand 5(CCL5)
203400_S_AT	TF	Homo sapiens	transferrin(TF)
201287_S_AT	SDC1	Homo sapiens	syndecan 1(SDC1)
226192_AT	AR	Homo sapiens	androgen receptor(AR)
238919_AT	PCDH9	Homo sapiens	protocadherin 9(PCDH9)
205679_X_AT	ACAN	Homo sapiens	aggrecan(ACAN)
209395_AT	CHI3L1	Homo sapiens	chitinase 3 like 1(CHI3L1)
238197_AT	GATA5	Homo sapiens	GATA binding protein 5(GATA5)
203028_S_AT	CYBA	Homo sapiens	cytochrome b-245 alpha chain(CYBA)
229479_AT	LINC01614	Homo sapiens	long intergenic non-protein coding RNA 1614(LINC01614)
219230_AT	TMEM100	Homo sapiens	transmembrane protein 100(TMEM100)
1554240_A_AT	ITGAL	Homo sapiens	integrin subunit alpha L(ITGAL)
207692_S_AT	ACAN	Homo sapiens	aggrecan(ACAN)
205569_AT	LAMP3	Homo sapiens	lysosomal associated membrane protein 3(LAMP3)
237169_AT	TNC	Homo sapiens	tenascin C(TNC)
213603_S_AT	RAC2	Homo sapiens	Rac family small GTPase 2(RAC2)
232305_AT	HMGCLL1	Homo sapiens	3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1(HMGCLL1)
210042_S_AT	CTSZ	Homo sapiens	cathepsin Z(CTSZ)
205112_AT	PLCE1	Homo sapiens	phospholipase C epsilon 1(PLCE1)
214511_X_AT	FCGR1BP	Homo sapiens	Fc gamma receptor Ib, pseudogene(FCGR1BP)
207238_S_AT	PTPRC	Homo sapiens	protein tyrosine phosphatase receptor type C(PTPRC)
1556579_S_AT	IGSF10	Homo sapiens	immunoglobulin superfamily member 10(IGSF10)
236280_AT	P2RY10	Homo sapiens	P2Y receptor family member 10(P2RY10)
234980_AT	TLCD4	Homo sapiens	TLC domain containing 4(TLCD4)
202350_S_AT	MATN2	Homo sapiens	matrilin 2(MATN2)
207610_S_AT	ADGRE2	Homo sapiens	adhesion G protein-coupled receptor E2(ADGRE2)
244313_AT	CR1	Homo sapiens	complement C3b/C4b receptor 1 (Knops blood group)(CR1)
219747_AT	NDNF	Homo sapiens	neuron derived neurotrophic factor(NDNF)
238964_AT	FIGN	Homo sapiens	fidgetin, microtubule severing factor(FIGN)
236028_AT	IBSP	Homo sapiens	integrin binding sialoprotein(IBSP)
204475_AT	MMP1	Homo sapiens	matrix metallopeptidase 1(MMP1)
