Name	MOA	Target	Phase
ABC-294640	sphingosine kinase inhibitor	SPHK2	Phase 2
acetazolamide	carbonic anhydrase inhibitor	AQP1, CA1, CA12, CA14, CA2, CA3, CA4, CA7	Launched
acetohydroxamic-acid	urease inhibitor	MMP12	Launched
acetyl-farnesyl-cysteine	methyltransferase inhibitor	PPARG	Launched
acitretin	retinoid receptor agonist	RARA, RARB, RARG, RBP1, RXRA, RXRB, RXRG, STAT3	Launched
AEE788	EGFR inhibitor, VEGFR inhibitor	EGFR, ERBB2, ERBB4, FGFR2, FGFR3, KDR	Phase 1/Phase 2
AG-555	tyrosine kinase inhibitor	CDK2	Preclinical
agmatine	nitric oxide synthase inhibitor	ADRA2C, ASIC3, CACNA1B, CHRNA1, GRIN1, KCNJ1, NISCH	Phase 3
AK-7	SIRT inhibitor	SIRT2	Preclinical
alantolactone	apoptosis stimulant, STAT inhibitor	STAT3	Preclinical
alvocidib	CDK inhibitor	CDK1, CDK2, CDK4, CDK5, CDK6, CDK7, CDK8, CDK9, EGFR, PYGM	Phase 2
amiloride	sodium channel blocker	AOC1, ASIC1, ASIC2, ASIC3, PKD2, PKD2L1, PLAU, SCNN1A, SCNN1B, SCNN1D, SCNN1G, SLC9A1, TRPC7, TRPV2	Launched
aminopurvalanol-a	CDK inhibitor, tyrosine kinase inhibitor	CDK1, CDK2, CDK5	Preclinical
amitriptyline	norepinephrine inhibitor, norepinephrine reuptake inhibitor, serotonin receptor antagonist, serotonin–norepinephrine reuptake inhibitor (SNRI)	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR2A, HTR2C, HTR6, HTR7, KCNA1, KCND2, KCND3, KCNQ2, KCNQ3, NTRK1, NTRK2, OPRD1, OPRK1, OPRM1, SIGMAR1, SLC6A2, SLC6A4	Launched
amlexanox	histamine receptor modulator	FGF1, IL3, PDE4A, PDE4B, PDE4C, PDE4D, S100A12, S100A13	Launched
APcK-110	KIT inhibitor	KIT, STAT3	Preclinical
API-001	sigma receptor antagonist	SIGMAR1	Phase 2
apigenin	casein kinase inhibitor, cell proliferation inhibitor	AKR1B1, AR, CDK6, CFTR, CYP19A1, CYP1B1, HSD17B1	Preclinical
apratastat	matrix metalloprotease inhibitor, tumor necrosis factor production inhibitor	ADAM17, MMP1, MMP13, MMP9	Phase 2
aspirin	cyclooxygenase inhibitor	AKR1C1, ASIC3, EDNRA, HSPA5, IKBKB, NFKB1, NFKB2, NFKBIA, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, PTGS1, PTGS2, RPS6KA3, TP53	Launched
AT-7519	CDK inhibitor	CDK1, CDK2, CDK4, CDK5, CDK6, CDK9	Phase 2
atiprimod	JAK inhibitor, STAT inhibitor	JAK2, STAT3	Phase 2
AZD4547	FGFR inhibitor	FGFR1, FGFR2, FGFR3, FGFR4, IGF1R, KDR	Phase 2/Phase 3
AZD8931	EGFR inhibitor	EGFR, ERBB2, ERBB3	Phase 2
BADGE	PPAR receptor antagonist	PPARG	Preclinical
balaglitazone	insulin sensitizer, PPAR receptor partial agonist	PPARG	Phase 3
balsalazide	cyclooxygenase inhibitor	ALOX5, PPARG, PTGS1, PTGS2	Launched
bardoxolone	nuclear factor erythroid derived, like (NRF2) activator	NOS2, PPARG	Phase 1
bardoxolone-methyl	nuclear factor erythroid derived, like (NRF2) activator	PPARG, STAT3	Phase 3
batimastat	matrix metalloprotease inhibitor	ADAM28, ADAMTS5, MMP12, MMP16, MMP2, MMP8	Phase 3
BD-1047	adrenergic receptor antagonist	SIGMAR1	Preclinical
BD-1063	sigma receptor antagonist	SIGMAR1	Preclinical
bezafibrate	PPAR receptor agonist	PPARA, PPARD, PPARG	Launched
bicyclol	NFkB pathway inhibitor	HSPA1A, HSPB1	Launched
bindarit	NFkB pathway inhibitor	CCL2, CCL7, CCL8	Phase 2
bisindolylmaleimide-IX	PKC inhibitor	AKT1, GSK3B, LCK, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, ROCK1, RPS6KB1, SIRT1	Preclinical
BMS-265246	CDK inhibitor	CDK1, CDK2	Preclinical
BMS-387032	CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor	CDK2, CDK7, CDK9	Phase 1
BMS-536924	IGF-1 inhibitor	AKT1, CCNE1, CDK2, CYP3A4, ERBB2, IGF1R, KDR, LCK, MAPK1, MET, PDGFRA, PDGFRB	Preclinical
bosutinib	Abl kinase inhibitor, Bcr-Abl kinase inhibitor, SRC inhibitor	ABL1, BCR, CAMK1D, CAMK2G, CDK2, FRK, FYN, HCK, LYN, MAP2K1, MAP2K2, MAP3K2, MAP4K5, SRC, STK10, STK24, STK4, TNK2, TXK	Launched
BQU57	Ras GTPase inhibitor	RALA, RALB	Preclinical
brefeldin-A	protein synthesis inhibitor	ARF1, CYTH2	Preclinical
brinzolamide	carbonic anhydrase inhibitor	CA1, CA12, CA14, CA2, CA4, CA5A, CA7	Launched
brivanib-alaninate	FGFR inhibitor, VEGFR inhibitor	FGFR3	Phase 3
bumetanide	solute carrier family member inhibitor	CFTR, GPR35, SLC12A1, SLC12A2, SLC12A4, SLC12A5	Launched
BX-795	IKK inhibitor	CDK2, CHEK1, GSK3B, KDR, PDK1, PDPK1	Preclinical
BX-912	pyruvate dehydrogenase kinase inhibitor	CDK2, CHEK1, GSK3B, KDR, PDK1, PDPK1	Preclinical
camostat-mesilate	protease inhibitor	PRSS1	Launched
cardionogen-1	WNT signaling inhibitor	CTNNB1	Preclinical
carzenide		CA1, CA12, CA14, CA2, CA6, CA9	Preclinical
CCT-031374	WNT signaling inhibitor	CTNNB1	Preclinical
celecoxib	cyclooxygenase inhibitor	CA12, PDPK1, PTGS2	Launched
ceritinib	ALK tyrosine kinase receptor inhibitor	ALK, FLT3, IGF1R, INSR, TSSK1B	Launched
cetilistat	triacylglycerol lipase inhibitor	PNLIP	Phase 3
CFTRinh-172	chloride channel blocker	CFTR	Preclinical
CGP-60474	CDK inhibitor	CDK1, CDK2	Preclinical
CH-5183284	fibroblast growth factor inhibitor	FGFR1, FGFR2, FGFR3	Phase 2
chlorthalidone	carbonic anhydrase inhibitor	CA1, CA12, CA14, CA2, CA4, CA7, SLC12A1	Launched
cholic-acid	bile acid	ADH1C, CES1, COX4I1, COX5A, COX5B, COX6A2, COX6B1, COX6C, COX7A1, COX7B, COX7C, COX8A, ESRRG, FABP6, FECH, GPBAR1, MT-CO1, MT-CO2, MT-CO3, PLA2G1B	Launched
ciglitazone	PPAR receptor agonist	PPARG	Phase 2
cipemastat	metalloproteinase inhibitor	ADAM17, MMP1, MMP13, MMP2, MMP3, MMP8, MMP9	Phase 3
CK-636	actin related protein inhibitor	ACTR2, ACTR3, ARPC1B, ARPC2, ARPC3, ARPC4, ARPC5	Preclinical
