time	G	V
0	-0.52171	1.9726
0.071768	-0.76645	1.8537
0.2153	-2.3465	1.1276
0.57415	-0.45457	0.5976
0.94186	-1.487	0.39223
1.1867	-1.9012	0.35683
1.5536	-1.7555	0.20268
1.9915	-2.4698	-0.46231
2.4232	-2.9914	-1.3525
2.709	-2.8255	-1.6701
3.135	-3.6768	-1.7794
3.4499	-4.1437	-0.76411
3.6227	-4.5955	-0.59832
3.8819	-5.4	0.43048
4.113	-4.4547	0.96888
4.2577	-3.9207	1.3973
4.5532	-3.9904	1.5171
4.9213	-3.2409	1.4401
5.1909	-3.0343	1.2787
5.6962	-3.0373	0.99611
6.1247	-2.7078	0.25347
6.5148	-3.3539	-0.49704
6.7749	-2.9454	-0.78925
7.187	-4.4131	-1.3908
7.5582	-4.9446	-1.1575
7.7366	-5.031	-0.61405
8.0042	-6.0428	-0.15032
8.2564	-4.1622	0.75267
8.4041	-4.5056	1.1174
8.6723	-4.6438	1.4073
8.9981	-3.3196	1.6288
9.3928	-4.0872	1.3208
9.8159	-3.035	0.92222
10.365	-2.9589	0.22594
10.7431	-2.9402	-0.43717
10.9952	-3.2264	-0.67927
11.3565	-4.2597	-1.4872
11.684	-4.4239	-1.2507
11.9023	-4.7376	-0.87658
12.2086	-4.5642	-0.25228
12.4724	-4.2863	0.67261
12.6308	-4.1456	0.86446
12.8962	-4.6453	1.5683
13.2173	-3.8155	1.4936
13.6731	-3.7842	1.4095
13.9615	-3.4848	1.0498
14.3709	-2.8522	0.57668
14.7803	-2.3199	-0.29304
14.9376	-3.3929	-0.47393
15	-2.9823	-0.5659
