# Program:featureCounts v2.0.2; Command:"c:/bmes/featurecounts.w64.exe" "-a" "C:\Users\GavinGao\AppData\Local\Temp\bmes\GCF_000146045.2_R64_genomic.gffGCF_000146045.2_R64045146000GCFallgenomesftp.ncbi.nlm.nih.gov" "-o" "wildtype.txt" "C:/Users/GavinGao/AppData/Local/Temp/bmes/SRR1302790_pass.randsamplernaseq.dbp2ftpsacan.biomed.drexel.edu.fastq.sam" "-O" "--tmpDir" "C:/Users/GavinGao/AppData/Local/Temp/bmes" "-T" "32" "-t" "exon" "-g" "locus_tag" 
Geneid	Chr	Start	End	Strand	Length	C:/Users/GavinGao/AppData/Local/Temp/bmes/SRR1302790_pass.randsamplernaseq.dbp2ftpsacan.biomed.drexel.edu.fastq.sam
YAL068C	NC_001133.9	1807	2169	-	363	0
YAL067W-A	NC_001133.9	2480	2707	+	228	0
YAL067C	NC_001133.9	7235	9016	-	1782	0
YAL065C	NC_001133.9	11565	11951	-	387	0
YAL064W-B	NC_001133.9	12046	12426	+	381	0
YAL064C-A	NC_001133.9	13363	13743	-	381	0
YAL064W	NC_001133.9	21566	21850	+	285	0
YAL063C-A	NC_001133.9	22395	22685	-	291	0
YAL063C	NC_001133.9	24000	27968	-	3969	0
YAL062W	NC_001133.9	31567	32940	+	1374	0
YAL061W	NC_001133.9	33448	34701	+	1254	1
YAL060W	NC_001133.9	35155	36303	+	1149	3
YAL059W	NC_001133.9	36509	37147	+	639	0
YAL058W	NC_001133.9	37464	38972	+	1509	0
YAL056W	NC_001133.9	39259	41901	+	2643	1
YAL055W	NC_001133.9	42177	42719	+	543	0
YAL054C	NC_001133.9	42881	45022	-	2142	2
YAL053W	NC_001133.9	45899	48250	+	2352	1
YAL051W	NC_001133.9	48564	51707	+	3144	0
YAL049C	NC_001133.9	51855	52595	-	741	0
YAL048C	NC_001133.9	52801	54789	-	1989	0
YAL047C	NC_001133.9	54989	56857	-	1869	0
YAL046C	NC_001133.9	57029	57385	-	357	0
YAL044W-A	NC_001133.9	57518	57850	+	333	0
YAL044C	NC_001133.9	57950	58462	-	513	2
YAL043C	NC_001133.9	58695	61052	-	2358	0
YAL042W	NC_001133.9	61316	62563	+	1248	18
YAL041W	NC_001133.9	62840	65404	+	2565	0
YAL040C	NC_001133.9	65778	67520	-	1743	0
YAL039C	NC_001133.9	68716	69525	-	810	2
YAL038W	NC_001133.9	71786	73288	+	1503	343
YAL037C-A	NC_001133.9	73426	73518	-	93	4
YAL037W	NC_001133.9	74020	74823	+	804	0
YAL036C	NC_001133.9	75043	76152	-	1110	7
YAL035W	NC_001133.9	76427	79435	+	3009	6
YAL034W-A	NC_001133.9	79718	80587	+	870	0
YAL034C	NC_001133.9	80710	81951	-	1242	0
YAL033W	NC_001133.9	82706	83227	+	522	0
YAL032C	NC_001133.9	83335	84474	-	1140	0
YAL031C	NC_001133.9	84749	87031	-	2283	0
YAL030W	NC_001133.9;NC_001133.9	87286;87501	87387;87752	+;+	354	0
YAL029C	NC_001133.9	87855	92270	-	4416	4
YAL028W	NC_001133.9	92900	94486	+	1587	0
YAL027W	NC_001133.9	94687	95472	+	786	2
YAL026C	NC_001133.9	95630	99697	-	4068	9
YNCA0001W	NC_001133.9	99305	99868	+	564	6
YAL025C	NC_001133.9	100225	101145	-	921	3
YAL024C	NC_001133.9	101565	105872	-	4308	1
YAL023C	NC_001133.9	106272	108551	-	2280	10
YAL022C	NC_001133.9	108877	110430	-	1554	5
YAL021C	NC_001133.9	110846	113359	-	2514	2
YAL020C	NC_001133.9	113614	114615	-	1002	1
YAL019W	NC_001133.9	114919	118314	+	3396	1
YAL018C	NC_001133.9	118564	119541	-	978	0
YAL017W	NC_001133.9	120225	124295	+	4071	0
YAL016W	NC_001133.9	124879	126786	+	1908	6
YAL015C	NC_001133.9	126903	128102	-	1200	0
YAL014C	NC_001133.9	128252	129019	-	768	0
YAL013W	NC_001133.9	129270	130487	+	1218	0
YAL012W	NC_001133.9	130799	131983	+	1185	6
YAL011W	NC_001133.9	132199	134076	+	1878	1
YAL010C	NC_001133.9	134184	135665	-	1482	3
YAL009W	NC_001133.9	135854	136633	+	780	1
YAL008W	NC_001133.9	136914	137510	+	597	0
YAL007C	NC_001133.9	137698	138345	-	648	2
YNCA0002W	NC_001133.9;NC_001133.9	139152;139219	139187;139254	+;+	72	9
YAL005C	NC_001133.9	139503	141431	-	1929	46
YAL003W	NC_001133.9;NC_001133.9	142174;142620	142253;143160	+;+	621	18
YNCA0003W	NC_001133.9	142367	142468	+	102	14
YAL002W	NC_001133.9	143707	147531	+	3825	0
YAL001C	NC_001133.9;NC_001133.9	147594;151097	151006;151166	-;-	3483	1
YAR002W	NC_001133.9	152257	153876	+	1620	0
YAR002C-A	NC_001133.9	154065	154724	-	660	4
