# Program:featureCounts v2.0.2; Command:"c:/bmes/featurecounts.w64.exe" "-a" "C:\Users\GavinGao\AppData\Local\Temp\bmes\GCF_000146045.2_R64_genomic.gffGCF_000146045.2_R64045146000GCFallgenomesftp.ncbi.nlm.nih.gov" "-o" "mutation.txt" "C:/Users/GavinGao/AppData/Local/Temp/bmes/SRR1302792_pass.randsamplernaseq.dbp2ftpsacan.biomed.drexel.edu.fastq.sam" "-O" "--tmpDir" "C:/Users/GavinGao/AppData/Local/Temp/bmes" "-T" "32" "-t" "exon" "-g" "locus_tag" 
Geneid	Chr	Start	End	Strand	Length	C:/Users/GavinGao/AppData/Local/Temp/bmes/SRR1302792_pass.randsamplernaseq.dbp2ftpsacan.biomed.drexel.edu.fastq.sam
YAL068C	NC_001133.9	1807	2169	-	363	0
YAL067W-A	NC_001133.9	2480	2707	+	228	0
YAL067C	NC_001133.9	7235	9016	-	1782	0
YAL065C	NC_001133.9	11565	11951	-	387	0
YAL064W-B	NC_001133.9	12046	12426	+	381	4
YAL064C-A	NC_001133.9	13363	13743	-	381	0
YAL064W	NC_001133.9	21566	21850	+	285	0
YAL063C-A	NC_001133.9	22395	22685	-	291	0
YAL063C	NC_001133.9	24000	27968	-	3969	7
YAL062W	NC_001133.9	31567	32940	+	1374	9
YAL061W	NC_001133.9	33448	34701	+	1254	15
YAL060W	NC_001133.9	35155	36303	+	1149	22
YAL059W	NC_001133.9	36509	37147	+	639	15
YAL058W	NC_001133.9	37464	38972	+	1509	8
YAL056W	NC_001133.9	39259	41901	+	2643	21
YAL055W	NC_001133.9	42177	42719	+	543	2
YAL054C	NC_001133.9	42881	45022	-	2142	5
YAL053W	NC_001133.9	45899	48250	+	2352	19
YAL051W	NC_001133.9	48564	51707	+	3144	16
YAL049C	NC_001133.9	51855	52595	-	741	11
YAL048C	NC_001133.9	52801	54789	-	1989	7
YAL047C	NC_001133.9	54989	56857	-	1869	7
YAL046C	NC_001133.9	57029	57385	-	357	3
YAL044W-A	NC_001133.9	57518	57850	+	333	0
YAL044C	NC_001133.9	57950	58462	-	513	156
YAL043C	NC_001133.9	58695	61052	-	2358	9
YAL042W	NC_001133.9	61316	62563	+	1248	89
YAL041W	NC_001133.9	62840	65404	+	2565	6
YAL040C	NC_001133.9	65778	67520	-	1743	3
YAL039C	NC_001133.9	68716	69525	-	810	7
YAL038W	NC_001133.9	71786	73288	+	1503	2480
YAL037C-A	NC_001133.9	73426	73518	-	93	12
YAL037W	NC_001133.9	74020	74823	+	804	6
YAL036C	NC_001133.9	75043	76152	-	1110	30
YAL035W	NC_001133.9	76427	79435	+	3009	72
YAL034W-A	NC_001133.9	79718	80587	+	870	1
YAL034C	NC_001133.9	80710	81951	-	1242	5
YAL033W	NC_001133.9	82706	83227	+	522	12
YAL032C	NC_001133.9	83335	84474	-	1140	1
YAL031C	NC_001133.9	84749	87031	-	2283	3
YAL030W	NC_001133.9;NC_001133.9	87286;87501	87387;87752	+;+	354	5
YAL029C	NC_001133.9	87855	92270	-	4416	34
YAL028W	NC_001133.9	92900	94486	+	1587	2
YAL027W	NC_001133.9	94687	95472	+	786	2
YAL026C	NC_001133.9	95630	99697	-	4068	17
YNCA0001W	NC_001133.9	99305	99868	+	564	2
YAL025C	NC_001133.9	100225	101145	-	921	24
YAL024C	NC_001133.9	101565	105872	-	4308	9
YAL023C	NC_001133.9	106272	108551	-	2280	64
YAL022C	NC_001133.9	108877	110430	-	1554	19
YAL021C	NC_001133.9	110846	113359	-	2514	22
YAL020C	NC_001133.9	113614	114615	-	1002	11
YAL019W	NC_001133.9	114919	118314	+	3396	37
YAL018C	NC_001133.9	118564	119541	-	978	0
YAL017W	NC_001133.9	120225	124295	+	4071	14
YAL016W	NC_001133.9	124879	126786	+	1908	16
YAL015C	NC_001133.9	126903	128102	-	1200	14
YAL014C	NC_001133.9	128252	129019	-	768	9
YAL013W	NC_001133.9	129270	130487	+	1218	6
YAL012W	NC_001133.9	130799	131983	+	1185	57
YAL011W	NC_001133.9	132199	134076	+	1878	1
YAL010C	NC_001133.9	134184	135665	-	1482	3
YAL009W	NC_001133.9	135854	136633	+	780	2
YAL008W	NC_001133.9	136914	137510	+	597	5
YAL007C	NC_001133.9	137698	138345	-	648	7
YNCA0002W	NC_001133.9;NC_001133.9	139152;139219	139187;139254	+;+	72	14
YAL005C	NC_001133.9	139503	141431	-	1929	142
YAL003W	NC_001133.9;NC_001133.9	142174;142620	142253;143160	+;+	621	160
YNCA0003W	NC_001133.9	142367	142468	+	102	121
YAL002W	NC_001133.9	143707	147531	+	3825	3
YAL001C	NC_001133.9;NC_001133.9	147594;151097	151006;151166	-;-	3483	13
YAR002W	NC_001133.9	152257	153876	+	1620	2
YAR002C-A	NC_001133.9	154065	154724	-	660	42
