Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	25	17.24137931034483	8.273003411034469E-22	NM_014180, NM_000978, NM_016067, NM_001001, NM_145330, NM_000993, NM_000971, NM_006837, NM_001035006, NM_001028, NM_002954, NM_000975, NM_145644, NM_001030, NM_018997, NM_015920, NM_000987, NM_016497, NM_000982, NM_016071, NM_016093, NM_000985, NM_000986, NM_033022, NM_001014990, NM_001021, NM_001024662	136	223	19157	15.791512793458192	5.476728258104819E-19	5.468455254693784E-19	5.38572522058344E-19
KEGG_PATHWAY	hsa00190:Oxidative phosphorylation	22	15.172413793103448	1.1702966968785678E-18	NM_001867, NM_004546, NM_001697, NM_001688, NM_004888, NM_001865, NM_001866, NM_001089591, NM_007100, NM_002491, NM_006053, NM_001039367, NM_014402, NM_006004, NM_005694, NM_002495, NM_006476, NM_004552, NM_004541, NM_001003701, NM_015994, NM_006294, NM_001003696	95	134	8142	14.071013354281225	1.6033064747236378E-16	1.6150094416924236E-16	1.4394649371606384E-16
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	17	11.724137931034482	1.362740457879543E-18	NM_000987, NM_000978, NM_000982, NM_000993, NM_000971, NM_001035006, NM_016093, NM_001028, NM_002954, NM_000985, NM_000986, NM_000975, NM_033022, NM_001030, NM_001021, NM_001024662, NM_001007464, NM_015933	136	88	19157	27.211647727272727	9.021341831162575E-16	4.50385721329189E-16	4.4357201903979127E-16
KEGG_PATHWAY	hsa03010:Ribosome	22	15.172413793103448	3.886871097313815E-17	NM_000987, NM_014180, NM_000978, NM_016067, NM_001001, NM_145330, NM_000982, NM_000993, NM_000971, NM_001035006, NM_016093, NM_001028, NM_002954, NM_000985, NM_000986, NM_000975, NM_001014990, NM_033022, NM_145644, NM_001030, NM_001021, NM_018997, NM_001024662, NM_015920	95	158	8142	11.933644237175216	5.325013403319926E-15	2.681941057146532E-15	2.390425724847996E-15
KEGG_PATHWAY	hsa05012:Parkinson disease	25	17.24137931034483	1.4633345290849965E-15	NM_001867, NM_000454, NM_001688, NM_001865, NM_002954, NM_003329, NM_001866, NM_001089591, NM_006004, NM_004541, NM_001003696, NM_002803, NM_001031733, NM_002806, NM_152132, NM_004546, NM_001697, NM_006304, NM_002789, NM_002491, NM_014402, NM_002495, NM_004552, NM_002793, NM_001003701, NM_006294	95	266	8142	8.055005935892362	1.9773072068574038E-13	6.731338833790984E-14	5.999671569248486E-14
KEGG_PATHWAY	hsa05020:Prion disease	22	15.172413793103448	2.6620738039487655E-12	NM_001867, NM_002803, NM_002806, NM_000454, NM_152132, NM_004546, NM_006304, NM_001697, NM_001688, NM_001865, NM_002789, NM_001866, NM_001089591, NM_002491, NM_014402, NM_006004, NM_002495, NM_004552, NM_004541, NM_002793, NM_001003701, NM_006294, NM_001003696	95	273	8142	6.906651243493349	3.6470670927712945E-10	9.184154623623241E-11	8.185876947142453E-11
KEGG_PATHWAY	hsa05016:Huntington disease	22	15.172413793103448	2.3821276588281657E-11	NM_001867, NM_002803, NM_002806, NM_000454, NM_152132, NM_004546, NM_006304, NM_001697, NM_001688, NM_001865, NM_002789, NM_001866, NM_001089591, NM_002491, NM_014402, NM_006004, NM_002495, NM_004552, NM_004541, NM_002793, NM_001003701, NM_006294, NM_001003696	95	306	8142	6.161816305469556	3.2635151248072702E-9	6.574672338365738E-10	5.860034040717288E-10
KEGG_PATHWAY	hsa05014:Amyotrophic lateral sclerosis	23	15.862068965517242	8.925254703546183E-11	NM_001867, NM_002803, NM_002806, NM_000454, NM_152132, NM_004546, NM_006304, NM_001697, NM_001688, NM_033294, NM_001865, NM_002789, NM_001866, NM_001089591, NM_002491, NM_014402, NM_006004, NM_002495, NM_004552, NM_004541, NM_002793, NM_001003701, NM_006294, NM_001003696	95	364	8142	5.415442452284558	1.2227591605906696E-8	2.052808581815622E-9	1.8296772142269676E-9
KEGG_PATHWAY	hsa04714:Thermogenesis	19	13.10344827586207	1.0449044289663237E-10	NM_001867, NM_004546, NM_001697, NM_001688, NM_001865, NM_001866, NM_001089591, NM_007100, NM_002491, NM_014402, NM_006004, NM_005694, NM_002495, NM_006476, NM_004552, NM_004541, NM_001003701, NM_016468, NM_006294, NM_001003696	95	232	8142	7.01896551724138	1.431518692474043E-8	2.0599544456764666E-9	1.8360463537551117E-9
KEGG_PATHWAY	hsa05171:Coronavirus disease - COVID-19	18	12.413793103448276	8.980565235218278E-10	NM_000987, NM_000978, NM_001001, NM_000982, NM_000993, NM_000971, NM_001035006, NM_016093, NM_001028, NM_033294, NM_002954, NM_000985, NM_000986, NM_000975, NM_033022, NM_001030, NM_001021, NM_001024662, NM_015920	95	232	8142	6.649546279491833	1.2303373542188467E-7	1.549147503075153E-8	1.3807619049148102E-8
KEGG_PATHWAY	hsa05010:Alzheimer disease	22	15.172413793103448	1.6198400754201472E-9	NM_001867, NM_002803, NM_001031733, NM_002806, NM_152132, NM_004546, NM_006304, NM_001697, NM_001688, NM_001865, NM_002789, NM_001866, NM_001089591, NM_002491, NM_014402, NM_006004, NM_002495, NM_004552, NM_004541, NM_002793, NM_001003701, NM_006294, NM_001003696	95	384	8142	4.910197368421053	2.2191806103855072E-7	2.4837547823108927E-8	2.2137814364075344E-8
KEGG_PATHWAY	hsa05022:Pathways of neurodegeneration - multiple diseases	24	16.551724137931036	2.6082459255119192E-9	NM_001867, NM_000454, NM_001688, NM_001865, NM_002954, NM_001866, NM_001089591, NM_006004, NM_004541, NM_001003696, NM_002803, NM_001031733, NM_002806, NM_152132, NM_004546, NM_006304, NM_001697, NM_002789, NM_002491, NM_014402, NM_002495, NM_004552, NM_002793, NM_001003701, NM_006294	95	476	8142	4.321273772666961	3.5732963210577395E-7	3.5993793772064484E-8	3.208142488379661E-8
KEGG_PATHWAY	hsa05208:Chemical carcinogenesis - reactive oxygen species	16	11.03448275862069	3.124266080575945E-8	NM_001867, NM_000454, NM_004546, NM_001697, NM_001688, NM_001865, NM_001866, NM_001089591, NM_002491, NM_014402, NM_006004, NM_002495, NM_004552, NM_004541, NM_001003701, NM_006294, NM_001003696	95	223	8142	6.149256549445362	4.28023543508349E-6	3.9195338101770944E-7	3.4934975264621926E-7
