# Program:featureCounts v2.0.1; Command:"/home/kabil/.anaconda3/envs/binf/bin/featureCounts" "-p" "-a" "/mnt/h/data/refseq/NC_001133.9_genomic.gtf.gz" "-o" "feature_counts.txt" "/mnt/h/data/samfiles/SRR1302790.sam" "/mnt/h/data/samfiles/SRR1302792.sam" "-O" "-T" "12" "--tmpDir" "/mnt/h/tmp/" "-t" "exon" "-g" "gene_id" 
Geneid	Chr	Start	End	Strand	Length	/mnt/h/data/samfiles/SRR1302790.sam	/mnt/h/data/samfiles/SRR1302792.sam
YAL068C	NC_001133.9	1807	2169	-	363	9	59
YAL067W-A	NC_001133.9	2480	2707	+	228	0	6
YAL067C	NC_001133.9	7235	9016	-	1782	3	262
YAL065C	NC_001133.9	11565	11951	-	387	83	302
YAL064W-B	NC_001133.9	12046	12426	+	381	99	337
YAL064C-A	NC_001133.9	13363	13743	-	381	40	353
YAL064W	NC_001133.9	21566	21850	+	285	0	11
YAL063C-A	NC_001133.9	22395	22685	-	291	0	29
YAL063C	NC_001133.9	24000	27968	-	3969	330	2608
YAL062W	NC_001133.9	31567	32940	+	1374	231	1487
YAL061W	NC_001133.9	33448	34701	+	1254	196	3371
YAL060W	NC_001133.9	35155	36303	+	1149	3019	7363
YAL059W	NC_001133.9	36509	37147	+	639	1367	4286
YAL058W	NC_001133.9	37464	38972	+	1509	980	2366
YAL056W	NC_001133.9	39259	41901	+	2643	1786	5420
YAL055W	NC_001133.9	42177	42719	+	543	132	824
YAL054C	NC_001133.9	42881	45022	-	2142	239	1285
YAL053W	NC_001133.9	45899	48250	+	2352	691	7688
YAL051W	NC_001133.9	48564	51707	+	3144	361	3764
YAL049C	NC_001133.9	51855	52595	-	741	575	1944
YAL048C	NC_001133.9	52801	54789	-	1989	247	1992
YAL047C	NC_001133.9	54989	56857	-	1869	224	1242
YAL046C	NC_001133.9	57029	57385	-	357	323	1752
YAL044W-A	NC_001133.9	57518	57850	+	333	65	414
YAL044C	NC_001133.9	57950	58462	-	513	4259	47998
YAL043C	NC_001133.9	58695	61052	-	2358	326	3174
YAL042W	NC_001133.9	61316	62563	+	1248	10436	17656
YAL041W	NC_001133.9	62840	65404	+	2565	549	2073
YAL040C	NC_001133.9	65778	67520	-	1743	95	755
YAL039C	NC_001133.9	68716	69525	-	810	564	2756
YAL038W	NC_001133.9	71786	73288	+	1503	188517	737131
YAL037C-A	NC_001133.9	73426	73518	-	93	2517	5068
YAL037W	NC_001133.9	74020	74823	+	804	73	827
YAL036C	NC_001133.9	75043	76152	-	1110	2660	7178
YAL035W	NC_001133.9	76427	79435	+	3009	5649	21412
YAL034W-A	NC_001133.9	79718	80587	+	870	112	531
YAL034C	NC_001133.9	80710	81951	-	1242	30	676
YAL033W	NC_001133.9	82706	83227	+	522	757	2581
YAL032C	NC_001133.9	83335	84474	-	1140	170	770
YAL031C	NC_001133.9	84749	87031	-	2283	171	1212
YAL030W	NC_001133.9;NC_001133.9	87286;87501	87387;87752	+;+	354	152	1206
YAL029C	NC_001133.9	87855	92270	-	4416	3131	12308
YAL028W	NC_001133.9	92900	94486	+	1587	58	538
YAL027W	NC_001133.9	94687	95472	+	786	271	739
YAL026C	NC_001133.9	95630	99697	-	4068	2737	7467
YNCA0001W	NC_001133.9	99305	99868	+	564	255	954
YAL025C	NC_001133.9	100225	101145	-	921	593	5805
YAL024C	NC_001133.9	101565	105872	-	4308	232	935
YAL023C	NC_001133.9	106272	108551	-	2280	7663	19634
YAL022C	NC_001133.9	108877	110430	-	1554	2012	4676
YAL021C	NC_001133.9	110846	113359	-	2514	647	4444
YAL020C	NC_001133.9	113614	114615	-	1002	831	3728
YAL019W	NC_001133.9	114919	118314	+	3396	1152	8034
YAL018C	NC_001133.9	118564	119541	-	978	3	15
YAL017W	NC_001133.9	120225	124295	+	4071	1365	5438
YAL016W	NC_001133.9	124879	126786	+	1908	1823	6411
YAL015C	NC_001133.9	126903	128102	-	1200	441	2057
YAL014C	NC_001133.9	128252	129019	-	768	604	3067
YAL013W	NC_001133.9	129270	130487	+	1218	165	1812
YAL012W	NC_001133.9	130799	131983	+	1185	1845	13432
YAL011W	NC_001133.9	132199	134076	+	1878	198	1020
YAL010C	NC_001133.9	134184	135665	-	1482	164	771
YAL009W	NC_001133.9	135854	136633	+	780	422	766
YAL008W	NC_001133.9	136914	137510	+	597	189	1083
YAL007C	NC_001133.9	137698	138345	-	648	583	1567
YNCA0002W	NC_001133.9;NC_001133.9	139152;139219	139187;139254	+;+	72	4314	5317
YAL005C	NC_001133.9	139503	141431	-	1929	25642	45850
YAL003W	NC_001133.9;NC_001133.9	142174;142620	142253;143160	+;+	621	11602	46606
YNCA0003W	NC_001133.9	142367	142468	+	102	7449	37101
YAL002W	NC_001133.9	143707	147531	+	3825	292	1331
YAL001C	NC_001133.9;NC_001133.9	147594;151097	151006;151166	-;-	3483	1112	3912
YAR002W	NC_001133.9	152257	153876	+	1620	277	2536
YAR002C-A	NC_001133.9	154065	154724	-	660	4858	13103
YAR003W	NC_001133.9	155005	156285	+	1281	1180	3042
YAR007C	NC_001133.9	156754	158619	-	1866	1408	3250
YAR008W	NC_001133.9	158966	159793	+	828	397	822
YAR009C	NC_001133.9	160597	164187	-	3591	11725	8541
YAR010C	NC_001133.9	164544	165866	-	1323	2876	5477
YNCA0004W	NC_001133.9	166267	166339	+	73	2713	18226
YAR014C	NC_001133.9	166742	168871	-	2130	913	5384
YAR015W	NC_001133.9	169375	170295	+	921	2815	6456
YAR018C	NC_001133.9	170396	171703	-	1308	310	2835
YAR019C	NC_001133.9	172211	175135	-	2925	122	825
YAR020C	NC_001133.9	176856	177023	-	168	3	26
YAR023C	NC_001133.9	179281	179820	-	540	106	437
YNCA0005W	NC_001133.9;NC_001133.9	181141;181211	181178;181254	+;+	82	6289	17018
YNCA0006C	NC_001133.9	182522	182603	-	82	2028	6694
YAR027W	NC_001133.9	183770	184477	+	708	448	2312
YAR028W	NC_001133.9	184892	185596	+	705	298	4679
YAR029W	NC_001133.9	186321	186545	+	225	50	690
YAR031W	NC_001133.9	186836	187732	+	897	225	803
YAR033W	NC_001133.9	188107	188811	+	705	204	882
YAR035W	NC_001133.9	190193	192256	+	2064	107	610
YAR035C-A	NC_001133.9	192337	192417	-	81	9	26
YAR042W	NC_001133.9	192619	196185	+	3567	538	4342
YAR050W	NC_001133.9	203403	208016	+	4614	289	2615
YAR061W	NC_001133.9	218140	219145	+	1006	70	639
YAR064W	NC_001133.9	220198	220497	+	300	26	564
YAR066W	NC_001133.9	221049	221660	+	612	101	1046
YAR068W	NC_001133.9	222406	222891	+	486	89	805
YAR071W	NC_001133.9	225460	226863	+	1404	6471	779
YBL113C	NC_001134.8	280	2658	-	2379	813	7385
YBL112C	NC_001134.8	2582	2899	-	318	86	643
YBL111C	NC_001134.8;NC_001134.8	2907;4216	4116;5009	-;-	2004	514	2959
YBL108C-A	NC_001134.8	7605	7733	-	129	2	38
YNCB0001W	NC_001134.8	9583	9666	+	84	163	245
YBL107C	NC_001134.8	9961	10551	-	591	250	1073
YBL106C	NC_001134.8	10847	13879	-	3033	627	1721
YBL105C	NC_001134.8	14241	17696	-	3456	1024	5978
YBL104C	NC_001134.8	18177	21293	-	3117	968	3475
YBL103C	NC_001134.8	22076	23536	-	1461	221	1073
YBL102W	NC_001134.8	24098	24745	+	648	1324	2145
YBL101C	NC_001134.8	24946	28299	-	3354	150	1459
YBL100W-C	NC_001134.8	28427	28546	+	120	13	73
YBL100W-B	NC_001134.8	29935	35248	+	5314	4529	4681
YBL100W-A	NC_001134.8	29935	31251	+	1317	299	928
YNCB0002W	NC_001134.8;NC_001134.8	36398;36453	36434;36488	+;+	73	1524	2173
YBL099W	NC_001134.8	37053	38690	+	1638	1763	22052
YBL098W	NC_001134.8	39145	40527	+	1383	850	1328
YBL097W	NC_001134.8	40831	43095	+	2265	603	1899
YBL095W	NC_001134.8	43277	44089	+	813	476	1489
YBL093C	NC_001134.8	44256	44918	-	663	614	2967
YBL092W	NC_001134.8	45978	46370	+	393	6147	40866
YBL091C-A	NC_001134.8;NC_001134.8	46565;47147	47058;47180	-;-	528	65	227
YBL091C	NC_001134.8	47363	48628	-	1266	2340	8414
YBL090W	NC_001134.8	48825	49358	+	534	403	1438
YBL089W	NC_001134.8	49574	50953	+	1380	281	867
YBL088C	NC_001134.8	51019	59382	-	8364	826	6633
YBL087C	NC_001134.8;NC_001134.8	59822;60698	60193;60739	-;-	414	26421	56075
YBL086C	NC_001134.8	61202	62602	-	1401	145	2084
YBL085W	NC_001134.8	63876	66818	+	2943	302	1760
YBL084C	NC_001134.8	67169	69445	-	2277	130	835
YBL082C	NC_001134.8	69751	71127	-	1377	872	4057
YBL081W	NC_001134.8	71866	72972	+	1107	110	1278
YBL080C	NC_001134.8	73070	74695	-	1626	349	791
YBL079W	NC_001134.8	75259	79767	+	4509	2378	9540
YBL078C	NC_001134.8	80378	80731	-	354	68	488
YBL076C	NC_001134.8	81043	84261	-	3219	26440	48690
YBL075C	NC_001134.8	84499	86448	-	1950	619	3978
YBL074C	NC_001134.8	86722	87789	-	1068	265	699
YNCB0003W	NC_001134.8	88190	88277	+	88	45720	25320
YBL072C	NC_001134.8	88523	89125	-	603	41020	123679
YBL071C-B	NC_001134.8	89458	89556	-	99	10	59
YBL071W-A	NC_001134.8	89978	90226	+	249	81	582
YBL071C	NC_001134.8	90223	90531	-	309	138	737
YBL069W	NC_001134.8	90741	92030	+	1290	817	25584
YBL068W	NC_001134.8	92414	93394	+	981	1450	4655
YBL067C	NC_001134.8	93639	95882	-	2244	447	1645
YBL066C	NC_001134.8	96669	100115	-	3447	127	1186
YBL064C	NC_001134.8	100371	101156	-	786	187	3159
YBL063W	NC_001134.8	101886	105221	+	3336	557	1404
YBL061C	NC_001134.8	105316	107406	-	2091	1246	2942
YBL060W	NC_001134.8	107932	109995	+	2064	479	2267
YBL059C-A	NC_001134.8;NC_001134.8	110125;110506	110420;110539	-;-	330	161	521
YBL059W	NC_001134.8;NC_001134.8	110594;110949	110879;111244	+;+	582	169	595
YBL058W	NC_001134.8	111437	112708	+	1272	2342	3752
YBL057C	NC_001134.8	112801	113427	-	627	1619	4057
YBL056W	NC_001134.8	113762	115168	+	1407	4034	8872
YBL055C	NC_001134.8	115573	116829	-	1257	729	3184
YBL054W	NC_001134.8	117589	119166	+	1578	271	4474
YBL052C	NC_001134.8	119379	121874	-	2496	1001	3893
YBL051C	NC_001134.8	122753	124759	-	2007	570	2400
YBL050W	NC_001134.8;NC_001134.8	125125;125271	125154;126119	+;+	879	1647	3220
YBL049W	NC_001134.8	126828	127244	+	417	35	997
YBL048W	NC_001134.8	127299	127610	+	312	21	312
YBL047C	NC_001134.8	127895	132040	-	4146	2666	11037
YBL046W	NC_001134.8	132424	133749	+	1326	315	2417
YBL045C	NC_001134.8	134143	135516	-	1374	634	10499
YBL044W	NC_001134.8	135998	136366	+	369	6	13
YBL043W	NC_001134.8	136688	137461	+	774	20	1009
YBL042C	NC_001134.8	138341	140260	-	1920	1301	3700
YBL041W	NC_001134.8	141247	141972	+	726	1885	8253
YBL040C	NC_001134.8;NC_001134.8	142112;142847	142749;142868	-;-	660	2299	3538
YBL039W-B	NC_001134.8	143393	143572	+	180	29	174
YBL039C	NC_001134.8	143989	145728	-	1740	7459	16280
YBL038W	NC_001134.8	146187	146885	+	699	622	3146
YBL037W	NC_001134.8	147209	150286	+	3078	438	1288
YBL036C	NC_001134.8	150447	151220	-	774	1374	2992
YBL035C	NC_001134.8	151493	153610	-	2118	400	1164
YBL034C	NC_001134.8	153848	158389	-	4542	294	1356
YBL033C	NC_001134.8	158656	159693	-	1038	476	3637
YBL032W	NC_001134.8	160184	161329	+	1146	1654	4343
YBL031W	NC_001134.8	161699	162715	+	1017	132	591
YBL030C	NC_001134.8	163041	163997	-	957	891	15477
YBL029C-A	NC_001134.8	164488	164772	-	285	95	882
YBL029W	NC_001134.8	166134	167264	+	1131	111	843
YBL028C	NC_001134.8	167518	167838	-	321	1309	5509
YBL027W	NC_001134.8;NC_001134.8	168423;168809	168424;169376	+;+	570	13855	50047
YBL026W	NC_001134.8;NC_001134.8	170623;170805	170676;171038	+;+	288	523	1249
YBL025W	NC_001134.8	171481	171918	+	438	228	958
YBL024W	NC_001134.8	172534	174588	+	2055	1738	6721
YBL023C	NC_001134.8	174920	177526	-	2607	2363	4470
YBL022C	NC_001134.8	177874	181275	-	3402	2462	8860
YBL021C	NC_001134.8	181660	182094	-	435	217	1370
YBL020W	NC_001134.8	182401	184125	+	1725	833	2530
YBL019W	NC_001134.8	184353	185915	+	1563	291	1093
YBL018C	NC_001134.8;NC_001134.8	185998;186428	186352;186474	-;-	402	979	812
YBL017C	NC_001134.8	186844	191583	-	4740	4249	15669
YBL016W	NC_001134.8	192451	193512	+	1062	538	4639
YBL015W	NC_001134.8	194122	195702	+	1581	848	3655
YNCB0004W	NC_001134.8	197494	197567	+	74	76	57
YNCB0005C	NC_001134.8	197629	197699	-	71	534	667
YBL014C	NC_001134.8	199064	201748	-	2685	1075	4984
YBL013W	NC_001134.8	202056	203261	+	1206	54	517
YBL011W	NC_001134.8	203538	205817	+	2280	1950	5581
YBL010C	NC_001134.8	206107	206949	-	843	160	665
YBL009W	NC_001134.8	207194	209224	+	2031	405	1528
YBL008W-A	NC_001134.8	209409	209648	+	240	9	27
YBL008W	NC_001134.8	209653	212175	+	2523	830	2185
YBL007C	NC_001134.8	212632	216366	-	3735	2146	8589
YBL006C	NC_001134.8	216587	217129	-	543	1580	2542
YBL005W	NC_001134.8	217470	220400	+	2931	524	3755
YBL005W-B	NC_001134.8	221330	226598	+	5269	17262	20349
YBL005W-A	NC_001134.8	221330	222652	+	1323	1546	5747
YNCB0006W	NC_001134.8	227075	227156	+	82	2076	6583
YBL004W	NC_001134.8	227636	235117	+	7482	4511	25848
YBL003C	NC_001134.8	235394	235792	-	399	8196	18526
YBL002W	NC_001134.8	236492	236887	+	396	515	3480
YBL001C	NC_001134.8	237153	237467	-	315	982	5238
YBR001C	NC_001134.8	238941	241283	-	2343	722	6018
YBR002C	NC_001134.8	241708	242568	-	861	190	1154
YBR003W	NC_001134.8	242809	244230	+	1422	332	1516
YBR004C	NC_001134.8	244366	245667	-	1302	167	1372
YBR005W	NC_001134.8	245906	246547	+	642	614	5676
YBR006W	NC_001134.8	247010	248503	+	1494	207	3398
YBR007C	NC_001134.8	248806	251016	-	2211	101	832
YBR008C	NC_001134.8	252563	254209	-	1647	221	2203
YBR009C	NC_001134.8	255373	255684	-	312	4106	19986
YBR010W	NC_001134.8	256331	256741	+	411	14769	53282
YBR011C	NC_001134.8	257112	257975	-	864	3510	16514
